annotation,broad_family,full_train_cell_count,full_train_frequency,full_train_donor_count,donor_breadth_fraction,median_cells_per_donor,minimum_cells_per_donor,maximum_cells_per_donor,dataset_count,matrix_count,technology_count,region_count,prrc_audit_cell_count,prrc_audit_donor_count,prrc_sampling_fraction,prrc_identifiable_k15,prrc_original_result,annotation_rare,donor_recurring_rare,prrc_sampling_enrichment,targeted_audit_cell_count,targeted_audit_donor_count,identifiability_strength,targeted_sampling_fraction,targeted_sampling_enrichment
Astro,Astrocytes,20942,0.0032970425644699,18,0.1208053691275167,1007.5,163,2633,1,1,1,1,32,18,0.0767386091127098,True,ADEQUATE,True,True,23.274982840582656,256.0,18.0,ROBUSTLY IDENTIFIABLE,0.07339449541284404,22.26070606542031
AstrocyteSubclass,Astrocytes,67354,0.0106040017614035,37,0.2483221476510067,1761.0,294,3699,1,1,1,1,1,1,0.0023980815347721,False,NOT TESTED,False,False,0.2261487303312915,,,,0.0,0.0
CN LAMP5-CXCL14 GABASubclass,Inhibitory neurons,1127,0.000177431332736,37,0.2483221476510067,27.0,3,62,1,1,1,1,4,4,0.0095923261390887,False,NOT IDENTIFIABLE,True,True,54.06218840366925,256.0,37.0,ROBUSTLY IDENTIFIABLE,0.07339449541284404,413.6501387950891
CN ST18 GABASubclass,Inhibitory neurons,41925,0.0066005400398913,37,0.2483221476510067,970.0,390,2435,1,1,1,1,32,32,0.0767386091127098,True,ADEQUATE,True,True,11.626110689266117,256.0,37.0,ROBUSTLY IDENTIFIABLE,0.07339449541284404,11.119468250972496
Endo,Endothelial / vascular,5499,0.0008657452517438,19,0.1275167785234899,229.0,64,809,1,1,1,1,32,19,0.0767386091127098,True,ADEQUATE,True,True,88.6387871699367,256.0,19.0,ROBUSTLY IDENTIFIABLE,0.07339449541284404,84.77608772905367
EndothelialSubclass,Endothelial / vascular,67254,0.0105882580761563,37,0.2483221476510067,1224.0,470,7692,1,1,1,1,0,0,0.0,False,NOT TESTED,False,False,0.0,,,,0.0,0.0
EpendymalSubclass,Ependymal,4085,0.0006431295423483,34,0.2281879194630872,88.5,1,427,1,1,1,1,10,10,0.0239808153477218,False,NOT IDENTIFIABLE,True,True,37.28769053300811,256.0,34.0,ROBUSTLY IDENTIFIABLE,0.07339449541284404,114.12085836525877
LSXSubclass,Other authorized families,160,2.518989639553049e-05,20,0.1342281879194631,2.0,1,80,1,1,1,1,0,0,0.0,False,NOT TESTED,True,True,0.0,160.0,20.0,ROBUSTLY IDENTIFIABLE,0.045871559633027525,1821.0301032110094
Microglia-PVMSubclass,Microglia / immune,43289,0.0068152839066632,37,0.2483221476510067,1090.0,405,2950,1,1,1,1,32,32,0.0767386091127098,True,ADEQUATE,True,True,11.25978171469616,256.0,37.0,ROBUSTLY IDENTIFIABLE,0.07339449541284404,10.769103153734703
NPH_OTHER,Other authorized families,89439,0.014080994648249,18,0.1208053691275167,4645.5,485,13110,1,3,1,1,0,0,0.0,False,NOT TESTED,False,False,0.0,,,,0.0,0.0
Neuronal: GABAergic,Inhibitory neurons,1233942,0.1942679446130855,130,0.87248322147651,3771.0,259,34661,11,19,4,11,31,31,0.0743405275779376,True,NOT TESTED,False,False,0.3826700680135275,,,,0.0,0.0
Neuronal: Glutamatergic,Excitatory neurons,2734078,0.4304446347331201,130,0.87248322147651,7421.0,768,79146,11,19,4,11,60,60,0.1438848920863309,True,NOT TESTED,False,False,0.3342703810805795,,,,0.0,0.0
Non-neuronal and Non-neural,Other authorized families,1289625,0.2030345008692876,130,0.87248322147651,4516.0,133,34179,11,16,4,11,35,35,0.0839328537170263,True,NOT TESTED,False,False,0.413392075522484,,,,0.0,0.0
OB GabaSubclass,Inhibitory neurons,53,8.344153181019476e-06,19,0.1275167785234899,2.0,1,12,1,1,1,1,0,0,0.0,False,NOT TESTED,False,False,0.0,,,,0.0,0.0
