asset_id,study_id,source_authority,source_accession,source_version,file_name,remote_url,remote_size,official_checksum_type,official_checksum,last_modified,destination,selected,required,file_type,title,advertised_cell_count,catalog_first
gse270454_gse270454_rnaseq_combined_counts_matrix_csv_gz,GSE270454,NCBI_GEO,GSE270454,"Fri, 21 Jun 2024 15:44:35 GMT",GSE270454_RNAseq-combined-counts-matrix.csv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE270nnn/GSE270454/suppl/GSE270454_RNAseq-combined-counts-matrix.csv.gz,1724820,,,"Fri, 21 Jun 2024 15:44:35 GMT",geo/GSE270454/GSE270454_RNAseq-combined-counts-matrix.csv.gz,True,False,gz,living_whole_blood_secondary_validation_candidate,,True
gse292141_filelist_txt,GSE292141,NCBI_GEO,GSE292141,"Thu, 24 Apr 2025 04:21:13 GMT",filelist.txt,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE292nnn/GSE292141/suppl/filelist.txt,4154,,,"Thu, 24 Apr 2025 04:21:13 GMT",geo/GSE292141/filelist.txt,False,False,txt,living_nph_blood_csf_context_and_adapter_candidate,,False
gse292141_gse292141_family_soft_gz,GSE292141,NCBI_GEO,GSE292141,"Mon, 01 Jun 2026 04:22:08 GMT",GSE292141_family.soft.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE292nnn/GSE292141/soft/GSE292141_family.soft.gz,3881,,,"Mon, 01 Jun 2026 04:22:08 GMT",geo/GSE292141/GSE292141_family.soft.gz,True,True,geo_soft,living_nph_blood_csf_context_and_adapter_candidate,,False
gse292141_gse292141_raw_tar,GSE292141,NCBI_GEO,GSE292141,"Thu, 24 Apr 2025 04:21:13 GMT",GSE292141_RAW.tar,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE292nnn/GSE292141/suppl/GSE292141_RAW.tar,986593280,,,"Thu, 24 Apr 2025 04:21:13 GMT",geo/GSE292141/GSE292141_RAW.tar,True,True,tar,living_nph_blood_csf_context_and_adapter_candidate,,False
gse302937_filelist_txt,GSE302937,NCBI_GEO,GSE302937,"Wed, 04 Feb 2026 18:08:21 GMT",filelist.txt,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE302nnn/GSE302937/suppl/filelist.txt,2176,,,"Wed, 04 Feb 2026 18:08:21 GMT",geo/GSE302937/filelist.txt,False,False,txt,living_olfactory_neural_immune_adapter_candidate,,False
gse302937_gse302937_family_soft_gz,GSE302937,NCBI_GEO,GSE302937,"Fri, 10 Jul 2026 04:22:27 GMT",GSE302937_family.soft.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE302nnn/GSE302937/soft/GSE302937_family.soft.gz,3648,,,"Fri, 10 Jul 2026 04:22:27 GMT",geo/GSE302937/GSE302937_family.soft.gz,True,True,geo_soft,living_olfactory_neural_immune_adapter_candidate,,False
gse302937_gse302937_raw_tar,GSE302937,NCBI_GEO,GSE302937,"Wed, 04 Feb 2026 18:08:21 GMT",GSE302937_RAW.tar,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE302nnn/GSE302937/suppl/GSE302937_RAW.tar,5387233280,,,"Wed, 04 Feb 2026 18:08:21 GMT",geo/GSE302937/GSE302937_RAW.tar,True,True,tar,living_olfactory_neural_immune_adapter_candidate,,False
gse305625_gse305625_family_soft_gz,GSE305625,NCBI_GEO,GSE305625,"Tue, 09 Jun 2026 04:22:01 GMT",GSE305625_family.soft.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE305nnn/GSE305625/soft/GSE305625_family.soft.gz,56318,,,"Tue, 09 Jun 2026 04:22:01 GMT",geo/GSE305625/GSE305625_family.soft.gz,True,False,geo_soft,living_biofluid_mirna_secondary_validation_candidate,,True
gse305625_gse305625_non_normalized_txt_gz,GSE305625,NCBI_GEO,GSE305625,"Mon, 18 Aug 2025 10:39:25 GMT",GSE305625_non_normalized.txt.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE305nnn/GSE305625/suppl/GSE305625_non_normalized.txt.gz,191511,,,"Mon, 18 Aug 2025 10:39:25 GMT",geo/GSE305625/GSE305625_non_normalized.txt.gz,True,False,gz,living_biofluid_mirna_secondary_validation_candidate,,True
gse305625_gse305625_normalized_data_txt_gz,GSE305625,NCBI_GEO,GSE305625,"Mon, 18 Aug 2025 10:39:25 GMT",GSE305625_normalized_data.txt.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE305nnn/GSE305625/suppl/GSE305625_normalized_data.txt.gz,82956,,,"Mon, 18 Aug 2025 10:39:25 GMT",geo/GSE305625/GSE305625_normalized_data.txt.gz,True,False,gz,living_biofluid_mirna_secondary_validation_candidate,,True
hvs_0087cde2-967d-4f7c-8e6e-40e4c9ad1891,HVS,CZ_CELLxGENE_Discover,0087cde2-967d-4f7c-8e6e-40e4c9ad1891,6201fd7d-f35b-4487-bace-99426881237b,6201fd7d-f35b-4487-bace-99426881237b.h5ad,https://datasets.cellxgene.cziscience.com/6201fd7d-f35b-4487-bace-99426881237b.h5ad,519242982,,,2026-06-11T16:53:43+00:00,hvs/6201fd7d-f35b-4487-bace-99426881237b.h5ad,True,True,h5ad,L6ITCar3 - neocortex: Human variation study (HVS),5399,
hvs_0de831e0-a525-4ec5-b717-df56f2de2bf0,HVS,CZ_CELLxGENE_Discover,0de831e0-a525-4ec5-b717-df56f2de2bf0,9adebd17-bc24-47b6-acdb-0db488bc602d,9adebd17-bc24-47b6-acdb-0db488bc602d.h5ad,https://datasets.cellxgene.cziscience.com/9adebd17-bc24-47b6-acdb-0db488bc602d.h5ad,580150889,,,2026-06-11T16:53:43+00:00,hvs/9adebd17-bc24-47b6-acdb-0db488bc602d.h5ad,True,True,h5ad,L56NP - neocortex: Human variation study (HVS),6133,
hvs_149b2c3f-ee11-47a7-984b-923570280bd7,HVS,CZ_CELLxGENE_Discover,149b2c3f-ee11-47a7-984b-923570280bd7,5e9da577-f665-44af-b9b4-fa0d5ad1964d,5e9da577-f665-44af-b9b4-fa0d5ad1964d.h5ad,https://datasets.cellxgene.cziscience.com/5e9da577-f665-44af-b9b4-fa0d5ad1964d.h5ad,32831267,,,2026-06-11T16:53:43+00:00,hvs/5e9da577-f665-44af-b9b4-fa0d5ad1964d.h5ad,True,True,h5ad,SstChodl - neocortex: Human variation study (HVS),301,
hvs_171b03c9-516b-499c-a434-fa4f70191988,HVS,CZ_CELLxGENE_Discover,171b03c9-516b-499c-a434-fa4f70191988,77dc6994-2777-4fad-a445-4ff7d143a682,77dc6994-2777-4fad-a445-4ff7d143a682.h5ad,https://datasets.cellxgene.cziscience.com/77dc6994-2777-4fad-a445-4ff7d143a682.h5ad,690905441,,,2026-06-11T16:53:43+00:00,hvs/77dc6994-2777-4fad-a445-4ff7d143a682.h5ad,True,True,h5ad,L6CT - neocortex: Human variation study (HVS),7156,
hvs_1a974af7-8b4b-4abb-8aba-23e2979d9518,HVS,CZ_CELLxGENE_Discover,1a974af7-8b4b-4abb-8aba-23e2979d9518,7be9f52d-7eef-4bdd-a0ba-c8f2d4986551,7be9f52d-7eef-4bdd-a0ba-c8f2d4986551.h5ad,https://datasets.cellxgene.cziscience.com/7be9f52d-7eef-4bdd-a0ba-c8f2d4986551.h5ad,1636005614,,,2026-06-11T16:53:43+00:00,hvs/7be9f52d-7eef-4bdd-a0ba-c8f2d4986551.h5ad,True,True,h5ad,L6IT - neocortex: Human variation study (HVS),16668,
hvs_1fc48734-35ee-4372-885c-95fd2674c75a,HVS,CZ_CELLxGENE_Discover,1fc48734-35ee-4372-885c-95fd2674c75a,57f3c92b-a07a-41da-b660-88eb9f93c4c9,57f3c92b-a07a-41da-b660-88eb9f93c4c9.h5ad,https://datasets.cellxgene.cziscience.com/57f3c92b-a07a-41da-b660-88eb9f93c4c9.h5ad,7604282325,,,2026-06-11T16:53:43+00:00,hvs/57f3c92b-a07a-41da-b660-88eb9f93c4c9.h5ad,True,True,h5ad,L23IT - neocortex: Human variation study (HVS),79631,
hvs_3079e9b0-c6db-45c8-b998-a4555a73968e,HVS,CZ_CELLxGENE_Discover,3079e9b0-c6db-45c8-b998-a4555a73968e,d1303087-592a-4c3d-aa3e-21de203927dc,d1303087-592a-4c3d-aa3e-21de203927dc.h5ad,https://datasets.cellxgene.cziscience.com/d1303087-592a-4c3d-aa3e-21de203927dc.h5ad,2558526832,,,2026-06-11T16:53:43+00:00,hvs/d1303087-592a-4c3d-aa3e-21de203927dc.h5ad,True,True,h5ad,Sst - neocortex: Human variation study (HVS),28943,
hvs_31285bcd-9a28-48ce-8cc0-543af80261d3,HVS,CZ_CELLxGENE_Discover,31285bcd-9a28-48ce-8cc0-543af80261d3,a9b5738d-997d-433f-8d86-12dbfc8f01fb,a9b5738d-997d-433f-8d86-12dbfc8f01fb.h5ad,https://datasets.cellxgene.cziscience.com/a9b5738d-997d-433f-8d86-12dbfc8f01fb.h5ad,915602861,,,2026-06-11T16:53:43+00:00,hvs/a9b5738d-997d-433f-8d86-12dbfc8f01fb.h5ad,True,True,h5ad,OPC - neocortex: Human variation study (HVS),11244,
hvs_34229bdc-a895-4394-8820-574e4028d8c6,HVS,CZ_CELLxGENE_Discover,34229bdc-a895-4394-8820-574e4028d8c6,c3b47645-c927-4a0a-868f-eb7640ea3354,c3b47645-c927-4a0a-868f-eb7640ea3354.h5ad,https://datasets.cellxgene.cziscience.com/c3b47645-c927-4a0a-868f-eb7640ea3354.h5ad,3057153024,,,2026-06-11T16:53:43+00:00,hvs/c3b47645-c927-4a0a-868f-eb7640ea3354.h5ad,True,True,h5ad,L5IT - neocortex: Human variation study (HVS),31924,
hvs_390b376d-8857-4b4b-991f-0d7326938172,HVS,CZ_CELLxGENE_Discover,390b376d-8857-4b4b-991f-0d7326938172,8dfadc37-e19c-4d4b-80d8-cee48e732bcf,8dfadc37-e19c-4d4b-80d8-cee48e732bcf.h5ad,https://datasets.cellxgene.cziscience.com/8dfadc37-e19c-4d4b-80d8-cee48e732bcf.h5ad,362143265,,,2026-06-11T16:53:43+00:00,hvs/8dfadc37-e19c-4d4b-80d8-cee48e732bcf.h5ad,True,True,h5ad,Sncg - neocortex: Human variation study (HVS),4112,
hvs_4859642c-d155-437b-adf5-83ca6c1bef67,HVS,CZ_CELLxGENE_Discover,4859642c-d155-437b-adf5-83ca6c1bef67,f8975a92-8ddb-4dde-adbe-977a4b3e4e96,f8975a92-8ddb-4dde-adbe-977a4b3e4e96.h5ad,https://datasets.cellxgene.cziscience.com/f8975a92-8ddb-4dde-adbe-977a4b3e4e96.h5ad,52926761,,,2026-06-11T16:53:43+00:00,hvs/f8975a92-8ddb-4dde-adbe-977a4b3e4e96.h5ad,True,True,h5ad,Endo - neocortex: Human variation study (HVS),582,
hvs_4e374783-0152-423e-bcb6-b87cc232f64d,HVS,CZ_CELLxGENE_Discover,4e374783-0152-423e-bcb6-b87cc232f64d,4afcaa14-e1c1-4b2b-b5af-c5b8936c3ddd,4afcaa14-e1c1-4b2b-b5af-c5b8936c3ddd.h5ad,https://datasets.cellxgene.cziscience.com/4afcaa14-e1c1-4b2b-b5af-c5b8936c3ddd.h5ad,1801583012,,,2026-06-11T16:53:43+00:00,hvs/4afcaa14-e1c1-4b2b-b5af-c5b8936c3ddd.h5ad,True,True,h5ad,Pvalb - neocortex: Human variation study (HVS),19711,
hvs_5e7fff82-b8eb-4220-bf65-c6feb6765ea1,HVS,CZ_CELLxGENE_Discover,5e7fff82-b8eb-4220-bf65-c6feb6765ea1,42c9001a-3a29-4952-aaa0-b55e73851a5c,42c9001a-3a29-4952-aaa0-b55e73851a5c.h5ad,https://datasets.cellxgene.cziscience.com/42c9001a-3a29-4952-aaa0-b55e73851a5c.h5ad,61610897,,,2026-06-11T16:53:43+00:00,hvs/42c9001a-3a29-4952-aaa0-b55e73851a5c.h5ad,True,True,h5ad,L5ET - neocortex: Human variation study (HVS),563,
hvs_6929d6d1-6f81-44d7-bd35-5a580259af81,HVS,CZ_CELLxGENE_Discover,6929d6d1-6f81-44d7-bd35-5a580259af81,e813d04b-7833-4b02-b14f-0247d6128516,e813d04b-7833-4b02-b14f-0247d6128516.h5ad,https://datasets.cellxgene.cziscience.com/e813d04b-7833-4b02-b14f-0247d6128516.h5ad,172050087,,,2026-06-11T16:53:43+00:00,hvs/e813d04b-7833-4b02-b14f-0247d6128516.h5ad,True,True,h5ad,Chandelier - neocortex: Human variation study (HVS),1875,
hvs_78f40dd6-ed22-470d-8547-6fb5746c25da,HVS,CZ_CELLxGENE_Discover,78f40dd6-ed22-470d-8547-6fb5746c25da,7958eba0-1d79-42e3-8947-a198f98578f2,7958eba0-1d79-42e3-8947-a198f98578f2.h5ad,https://datasets.cellxgene.cziscience.com/7958eba0-1d79-42e3-8947-a198f98578f2.h5ad,136057698,,,2026-06-11T16:53:43+00:00,hvs/7958eba0-1d79-42e3-8947-a198f98578f2.h5ad,True,True,h5ad,Pax6 - neocortex: Human variation study (HVS),1465,
hvs_93091496-be48-4122-b945-9af9c22a7535,HVS,CZ_CELLxGENE_Discover,93091496-be48-4122-b945-9af9c22a7535,5fff0955-173e-407d-b160-64f513ca6db6,5fff0955-173e-407d-b160-64f513ca6db6.h5ad,https://datasets.cellxgene.cziscience.com/5fff0955-173e-407d-b160-64f513ca6db6.h5ad,2510495710,,,2026-06-11T16:53:43+00:00,hvs/5fff0955-173e-407d-b160-64f513ca6db6.h5ad,True,True,h5ad,Vip - neocortex: Human variation study (HVS),28718,
hvs_9ea52f85-a35e-4b5b-9207-e2f1de7dbbcd,HVS,CZ_CELLxGENE_Discover,9ea52f85-a35e-4b5b-9207-e2f1de7dbbcd,c9143d44-4c95-4f06-8edc-e03d3491ab97,c9143d44-4c95-4f06-8edc-e03d3491ab97.h5ad,https://datasets.cellxgene.cziscience.com/c9143d44-4c95-4f06-8edc-e03d3491ab97.h5ad,3217779656,,,2026-06-11T16:53:43+00:00,hvs/c9143d44-4c95-4f06-8edc-e03d3491ab97.h5ad,True,True,h5ad,L4IT - neocortex: Human variation study (HVS),35171,
hvs_a30db232-08a6-48f0-ab9f-ad6977b8a6b1,HVS,CZ_CELLxGENE_Discover,a30db232-08a6-48f0-ab9f-ad6977b8a6b1,38374d1b-6549-4429-b59a-ff2706dacd96,38374d1b-6549-4429-b59a-ff2706dacd96.h5ad,https://datasets.cellxgene.cziscience.com/38374d1b-6549-4429-b59a-ff2706dacd96.h5ad,803923602,,,2026-06-11T16:53:43+00:00,hvs/38374d1b-6549-4429-b59a-ff2706dacd96.h5ad,True,True,h5ad,L6b - neocortex: Human variation study (HVS),8213,
hvs_b6e502d7-0d07-408e-a291-91b63af0a40a,HVS,CZ_CELLxGENE_Discover,b6e502d7-0d07-408e-a291-91b63af0a40a,c5e9db26-7b51-4290-b721-dd540ac906b1,c5e9db26-7b51-4290-b721-dd540ac906b1.h5ad,https://datasets.cellxgene.cziscience.com/c5e9db26-7b51-4290-b721-dd540ac906b1.h5ad,313044672,,,2026-06-11T16:53:43+00:00,hvs/c5e9db26-7b51-4290-b721-dd540ac906b1.h5ad,True,True,h5ad,MicroPVM - neocortex: Human variation study (HVS),3934,
hvs_d5a2d011-3765-4dad-ac36-3fff087589fe,HVS,CZ_CELLxGENE_Discover,d5a2d011-3765-4dad-ac36-3fff087589fe,bb3c4200-5c1b-4f8a-a846-e021919b7241,bb3c4200-5c1b-4f8a-a846-e021919b7241.h5ad,https://datasets.cellxgene.cziscience.com/bb3c4200-5c1b-4f8a-a846-e021919b7241.h5ad,729030048,,,2026-06-11T16:53:43+00:00,hvs/bb3c4200-5c1b-4f8a-a846-e021919b7241.h5ad,True,True,h5ad,Lamp5 - neocortex: Human variation study (HVS),8093,
hvs_e2a325e2-5633-4950-ae46-ebff70979e3b,HVS,CZ_CELLxGENE_Discover,e2a325e2-5633-4950-ae46-ebff70979e3b,19cd530b-622c-4bd8-b738-dbf169412cb0,19cd530b-622c-4bd8-b738-dbf169412cb0.h5ad,https://datasets.cellxgene.cziscience.com/19cd530b-622c-4bd8-b738-dbf169412cb0.h5ad,431473246,,,2026-06-11T16:53:43+00:00,hvs/19cd530b-622c-4bd8-b738-dbf169412cb0.h5ad,True,True,h5ad,Lamp5Lhx6 - neocortex: Human variation study (HVS),4683,
hvs_e34f3f89-3a48-4173-a06a-9e9803f2e2b9,HVS,CZ_CELLxGENE_Discover,e34f3f89-3a48-4173-a06a-9e9803f2e2b9,7b96819c-598c-47a1-9cea-f410fc0c37fa,7b96819c-598c-47a1-9cea-f410fc0c37fa.h5ad,https://datasets.cellxgene.cziscience.com/7b96819c-598c-47a1-9cea-f410fc0c37fa.h5ad,4551204610,,,2026-06-11T16:53:43+00:00,hvs/7b96819c-598c-47a1-9cea-f410fc0c37fa.h5ad,True,True,h5ad,Oligo - neocortex: Human variation study (HVS),57855,
hvs_ea95cdd5-cf7e-4d5d-a0bd-032776d32ae5,HVS,CZ_CELLxGENE_Discover,ea95cdd5-cf7e-4d5d-a0bd-032776d32ae5,ab88770a-7a74-4da5-a166-d68f02d644f2,ab88770a-7a74-4da5-a166-d68f02d644f2.h5ad,https://datasets.cellxgene.cziscience.com/ab88770a-7a74-4da5-a166-d68f02d644f2.h5ad,1381262772,,,2026-06-11T16:53:43+00:00,hvs/ab88770a-7a74-4da5-a166-d68f02d644f2.h5ad,True,True,h5ad,Astro - neocortex: Human variation study (HVS),16319,
hvs_f9cfac8d-bff6-47a2-a1f6-503827d375f5,HVS,CZ_CELLxGENE_Discover,f9cfac8d-bff6-47a2-a1f6-503827d375f5,900faaa3-adec-4fd9-81b0-1e90a2ab256f,900faaa3-adec-4fd9-81b0-1e90a2ab256f.h5ad,https://datasets.cellxgene.cziscience.com/900faaa3-adec-4fd9-81b0-1e90a2ab256f.h5ad,56315767,,,2026-06-11T16:53:43+00:00,hvs/900faaa3-adec-4fd9-81b0-1e90a2ab256f.h5ad,True,True,h5ad,VLMC - neocortex: Human variation study (HVS),637,
nph52_NPH_DE_res,NPH52,Zenodo,8319719,2,NPH_DE_res.zip,https://zenodo.org/api/records/8319719/files/NPH_DE_res.zip/content,570524903,md5,36e55f2da169f949f9dbcb765a7dcea7,2023-09-06T14:26:52.606663+00:00,nph52/NPH_DE_res.zip,False,False,zip,NPH Integrative Analysis Datasets,,
nph52_annotations,NPH52,Zenodo,8319719,2,annotations.zip,https://zenodo.org/api/records/8319719/files/annotations.zip/content,117523800,md5,0981c257713e79e9fe775e2576872f9b,2023-09-06T14:26:52.606663+00:00,nph52/annotations.zip,True,True,zip,NPH Integrative Analysis Datasets,,
nph52_organized_data,NPH52,Zenodo,8319719,2,organized_data.zip,https://zenodo.org/api/records/8319719/files/organized_data.zip/content,13816833572,md5,3aa418e4f218ff4bfbdefbc21bc89b5a,2023-09-06T14:26:52.606663+00:00,nph52/organized_data.zip,True,True,zip,NPH Integrative Analysis Datasets,,
