rare_neighborhood_id,broad_family,candidate_cells,neighborhood_cells,global_audit_frequency,within_family_audit_frequency,donors,cells_per_donor,datasets,matrices,technologies,regions,recurrence_class,cross_source_recurrence,evidence_tier,technical_concern,annotation_agreement,dominant_annotation,dominant_annotation_fraction,rna_rare,ledger_rare,pca_rare,rep_rare,representation_agreement,unannotated_compression_review_flag,nearest_recurring_state,nearest_recurring_state_ledger_similarity,candidate_member_hash,neighborhood_member_hash,resamples,candidate_membership_jaccard_median,candidate_membership_jaccard_min,donor_recurrence_retained_all,rna_rank_correlation_median,ledger_rank_correlation_median,pca_rank_correlation_median,rna_to_ledger_retention_median,ledger_to_pca_retention_median
Astrocytes::001,Astrocytes,2,42,0.0004998750312421895,0.010362694300518135,2,"{""H20.33.028"": 1, ""H21.33.001"": 1}",1,1,1,1,LIMITED-RECURRENCE,SINGLE-DATASET,TIER 0 - TECHNICAL / UNRESOLVED OUTLIER,HIGH TECHNICAL CONCERN,ANNOTATION-SUBSTRUCTURE,AstrocyteSubclass,1.0,True,True,True,True,RNA + LEDGER + PCA RARE,False,NOT APPLICABLE,,b5d8415c5d7c23a1263e1a5dabbc0cc9c99bfdbf6e1e8ea355c4c78bf859044c,1435ee82c34bed9a31fd37e1a75d0d235e039feba206d34a1675fde754c42dc6,,,,,,,,,
Astrocytes::002,Astrocytes,1,31,0.00024993751562109475,0.0051813471502590676,1,"{""human_NPH_976"": 1}",1,1,1,1,DONOR-PRIVATE,SINGLE-DATASET,TIER 1 - DONOR-PRIVATE BIOLOGICAL CANDIDATE,MIXED TECHNICAL ASSOCIATION,ANNOTATION-CONCORDANT,Astro,1.0,False,False,True,False,PCA RARE ONLY,False,NOT APPLICABLE,,66ebe6494baaeb25026de22d5500828735a59c8f2ba260339bbaba8b28267cc9,74e66c56ccba3d312cf6221faef0596bdf11396dfb9b717627f098aef1b2832b,,,,,,,,,
Endothelial___vascular::001,Endothelial / vascular,3,54,0.0007498125468632841,0.01775147928994083,3,"{""H20.33.020"": 1, ""H20.33.035"": 1, ""H21.33.001"": 1}",1,1,1,1,LIMITED-RECURRENCE,SINGLE-DATASET,TIER 2 - LIMITED-RECURRENCE CANDIDATE,MIXED TECHNICAL ASSOCIATION,ANNOTATION-SUBSTRUCTURE,EndothelialSubclass,1.0,True,False,True,True,RNA RARE / LEDGER NOT RARE,False,NOT APPLICABLE,,62b10b50bbbb32bd01660fc8a3016273c7da60597f7559b3b075869413a7e409,b58e652feb846214ae1b201afddc6e133390d327eaace5ad0182a4f6762eb741,,,,,,,,,
Endothelial___vascular::002,Endothelial / vascular,1,31,0.00024993751562109475,0.005917159763313609,1,"{""H21.33.019"": 1}",1,1,1,1,DONOR-PRIVATE,SINGLE-DATASET,TIER 1 - DONOR-PRIVATE BIOLOGICAL CANDIDATE,LOW TECHNICAL CONCERN,ANNOTATION-SUBSTRUCTURE,EndothelialSubclass,1.0,False,True,False,False,LEDGER RARE / RNA NOT RARE,False,NOT APPLICABLE,,6ee311c637a9c20ab63425429ffd37b62b55251277e8afd16f5c7b71f582b224,6f0afe117ae9a3012c7f525609a41dd0852af6eb98c682cb65ab81a489a22d6d,,,,,,,,,
Endothelial___vascular::003,Endothelial / vascular,2,42,0.0004998750312421895,0.011834319526627219,2,"{""human_NPH_1075"": 1, ""human_NPH_944"": 1}",1,1,1,1,LIMITED-RECURRENCE,SINGLE-DATASET,TIER 2 - LIMITED-RECURRENCE CANDIDATE,LOW TECHNICAL CONCERN,ANNOTATION-CONCORDANT,Endo,1.0,False,True,True,False,LEDGER RARE / RNA NOT RARE,False,NOT APPLICABLE,,05bf90e9b5f5f5ae7dde39f98e154a793af7fb04cfb9afb73e9587e0917fbb8b,ea9ef94188205a0c9d5dcedf4b9aabc984ebbc877ad2784280519aa2552f1eb0,,,,,,,,,
Ependymal::001,Ependymal,1,10,0.00024993751562109475,0.1,1,"{""H20.33.036"": 1}",1,1,1,1,DONOR-PRIVATE,SINGLE-DATASET,TIER 1 - DONOR-PRIVATE BIOLOGICAL CANDIDATE,LOW TECHNICAL CONCERN,ANNOTATION-CONCORDANT,EpendymalSubclass,1.0,True,True,True,True,RNA + LEDGER + PCA RARE,False,NOT APPLICABLE,,fd5bfc39eb504c2516dc4e2bb558ce5646bf47c7f26d51d3a44e5d9f0b3a5485,01852ca63fd291a23cf5d0985e6bd9ceb2c9035841780c08b9bac85370045b48,,,,,,,,,
Excitatory_neurons::001,Excitatory neurons,1,31,0.00024993751562109475,0.0009765625,1,"{""H16.03.011"": 1}",1,1,1,1,DONOR-PRIVATE,SINGLE-DATASET,TIER 1 - DONOR-PRIVATE BIOLOGICAL CANDIDATE,MIXED TECHNICAL ASSOCIATION,ANNOTATION-SUBSTRUCTURE,Neuronal: Glutamatergic,1.0,False,False,True,True,PCA RARE ONLY,False,NOT APPLICABLE,,85dadb8a406a4c0b08c1328b57f74384cb8440d5b160731d130df1786f944901,e2c0b99276f9a441b34fd4c8ec1c9f42977c6d8dc0ccdb65e94ca9330cdd501b,,,,,,,,,
Excitatory_neurons::002,Excitatory neurons,1,31,0.00024993751562109475,0.0009765625,1,"{""H20.33.028"": 1}",1,1,1,1,DONOR-PRIVATE,SINGLE-DATASET,TIER 0 - TECHNICAL / UNRESOLVED OUTLIER,HIGH TECHNICAL CONCERN,ANNOTATION-SUBSTRUCTURE,Neuronal: Glutamatergic,1.0,True,False,False,False,RNA RARE / LEDGER NOT RARE,False,NOT APPLICABLE,,a3f430814cbfa28e7d2c45d27714892c237221dd8a178c13e17a25a3f7264b6f,424b72f3d6a5442572429203360272154607ebe1e97aa4352f4f667fb159f0c4,,,,,,,,,
Excitatory_neurons::003,Excitatory neurons,1,31,0.00024993751562109475,0.0009765625,1,"{""H19.26.404"": 1}",1,1,1,1,DONOR-PRIVATE,SINGLE-DATASET,TIER 1 - DONOR-PRIVATE BIOLOGICAL CANDIDATE,MIXED TECHNICAL ASSOCIATION,ANNOTATION-SUBSTRUCTURE,Neuronal: Glutamatergic,1.0,False,False,True,False,PCA RARE ONLY,False,NOT APPLICABLE,,27ce689db17c0f4d0fa9bda9682f1b965fec5843ba5cf81c74703fd6caff06b0,da597d73d97e995b8d68c4ede4e62e4ff4302e51b35af1f8811b88987a21fae6,,,,,,,,,
Excitatory_neurons::004,Excitatory neurons,1,31,0.00024993751562109475,0.0009765625,1,"{""H18.03.003"": 1}",1,1,1,1,DONOR-PRIVATE,SINGLE-DATASET,TIER 0 - TECHNICAL / UNRESOLVED OUTLIER,HIGH TECHNICAL CONCERN,ANNOTATION-SUBSTRUCTURE,Neuronal: Glutamatergic,1.0,True,True,True,True,RNA + LEDGER + PCA RARE,False,NOT APPLICABLE,,f3fa289b425516ce329019113103af7147131c12ad878cf795839c007d6c58df,524b996377dc565efa943909659517da506621983fef60527def34898344fbaa,,,,,,,,,
