fixture,basis_type,dimension,eigenvalue,explained_fraction_within_audited_96,cumulative_fraction_within_audited_96,relative_eigengap_to_next
overlapping_programs,ordinary_pca,1,13018.203491047363,0.12303065737860062,0.12303065737860062,0.8345464330867475
overlapping_programs,ordinary_pca,2,2153.908202396341,0.02035586110297173,0.14338651848157236,0.06462618557971853
overlapping_programs,ordinary_pca,3,2014.7093311865972,0.019040339445696105,0.16242685792726846,0.41933560812791537
overlapping_programs,ordinary_pca,4,1169.8699685924798,0.011056047125273194,0.17348290505254169,0.01549825368114834
overlapping_programs,ordinary_pca,5,1151.7390270452765,0.01088469770221498,0.18436760275475667,0.0042880717931571945
overlapping_programs,ordinary_pca,6,1146.8002874103254,0.01083802333702107,0.19520562609177775,0.012914728169931514
overlapping_programs,ordinary_pca,7,1131.9896734332217,0.010698053211724068,0.2059036793035018,0.020721937888962694
overlapping_programs,ordinary_pca,8,1108.5326537293913,0.010476368817537903,0.21638004812103967,0.01164279071027329
overlapping_programs,ordinary_pca,9,1095.6262400465162,0.010354394647991677,0.22673444276903135,0.009265783444285384
overlapping_programs,ordinary_pca,10,1085.4744045703685,0.010258453069486717,0.2369928958385181,0.010562576188833722
overlapping_programs,ordinary_pca,11,1074.008998471065,0.01015009737736069,0.24714299321587876,0.006892646546952042
overlapping_programs,ordinary_pca,12,1066.606234056358,0.010080136343721397,0.2572231295596002,0.0077620653730387885
overlapping_programs,ordinary_pca,13,1058.327166740322,0.010001893666452287,0.26722502322605246,0.002779192355753742
overlapping_programs,ordinary_pca,14,1055.3858719686307,0.00997409648003142,0.2771991197060839,0.010012770164770143
overlapping_programs,ordinary_pca,15,1044.8185357974633,0.009874228144375625,0.2870733478504595,0.003638942888322187
overlapping_programs,ordinary_pca,16,1041.0165008170359,0.009838296392091979,0.2969116442425515,0.005250587606344413
overlapping_programs,ordinary_pca,17,1035.550552479846,0.009786639554988116,0.3066982837975396,0.0029831537968580363
overlapping_programs,ordinary_pca,18,1032.4613459173772,0.009757444504041172,0.3164557283015808,0.003305324308588933
overlapping_programs,ordinary_pca,19,1029.048726333038,0.009725192985532259,0.326180921287113,0.004974438634292519
overlapping_programs,ordinary_pca,20,1023.9297865921975,0.009676815609819076,0.3358577368969321,0.003092365801592448
overlapping_programs,ordinary_pca,21,1020.7634211369079,0.009646891356158956,0.3455046282530911,0.006997924778660542
overlapping_programs,ordinary_pca,22,1013.6201954989837,0.009579383136100645,0.35508401138919166,0.0015259310754790155
overlapping_programs,ordinary_pca,23,1012.0734809439386,0.009564765657689349,0.36464877704688103,0.00785987349707977
overlapping_programs,ordinary_pca,24,1004.1187114139701,0.009489587809590697,0.3741383648564718,0.0027430829529746523
overlapping_programs,ordinary_pca,25,1001.3643304939276,0.009463557083039453,0.3836019219395112,0.0018283597552196538
overlapping_programs,ordinary_pca,26,999.53347625174,0.0094462542961276,0.39304817623563876,0.004155320480351097
overlapping_programs,ordinary_pca,27,995.3800943270746,0.009407002082188297,0.40245517831782707,0.00021240863471258344
overlapping_programs,ordinary_pca,28,995.1686670002185,0.009405003953719281,0.41186018227154636,0.0064971711031443745
overlapping_programs,ordinary_pca,29,988.70288589423,0.009343898033806216,0.42120408030535256,0.004962335959202367
overlapping_programs,ordinary_pca,30,983.7966100105899,0.00929753047259394,0.4305016107779465,0.0021063340725960738
overlapping_programs,ordinary_pca,31,981.7244056904201,0.009277946767368515,0.43977955754531506,0.0031637181053465295
overlapping_programs,ordinary_pca,32,978.6185064136768,0.00924859395920015,0.4490281515045152,0.0034038765241270023
overlapping_programs,ordinary_pca,33,975.287409853619,0.009217112887341245,0.4582452643918564,0.0021696576270436234
overlapping_programs,ordinary_pca,34,973.1713700862705,0.009197114908065903,0.46744237929992233,0.00637269999583436
overlapping_programs,ordinary_pca,35,966.9696409001756,0.009138504453929584,0.4765808837538519,0.0013124549943654082
overlapping_programs,ordinary_pca,36,965.7005367655764,0.009126510578117994,0.48570739433196986,0.0014359386409043343
overlapping_programs,ordinary_pca,37,964.3138500492927,0.009113405468922251,0.4948207998008921,0.0014803000683018752
overlapping_programs,ordinary_pca,38,962.8863761912003,0.009099914894184144,0.5039207146950763,0.0008334363694118105
overlapping_programs,ordinary_pca,39,962.0838716656714,0.009092330694152778,0.5130130453892291,0.004153191801950935
overlapping_programs,ordinary_pca,40,958.0881528170803,0.009054568500853196,0.5220676138900823,0.001743538714975744
overlapping_programs,ordinary_pca,41,956.4176890302841,0.009038781510124558,0.5311063954002068,0.0007240573775737305
overlapping_programs,ordinary_pca,42,955.7251877464997,0.009032236913687876,0.5401386323138947,0.003376547081768064
overlapping_programs,ordinary_pca,43,952.498136652842,0.009001739140495126,0.5491403714543899,0.00449403773900422
overlapping_programs,ordinary_pca,44,948.217574080393,0.008961284985081069,0.558101656439471,0.001543771912941253
overlapping_programs,ordinary_pca,45,946.7537424221704,0.008947450805017238,0.5670491072444882,0.0020443694828550085
overlapping_programs,ordinary_pca,46,944.8182279633837,0.008929158909642115,0.5759782661541303,0.0024264424018810033
overlapping_programs,ordinary_pca,47,942.5256809529833,0.008907492819850626,0.5848857589739809,0.002715438594880012
overlapping_programs,ordinary_pca,48,939.966310342258,0.008883305070063987,0.5937690640440448,0.002080004136655551
overlapping_programs,ordinary_pca,49,938.0111765284292,0.008864827758771081,0.6026338918028159,0.0034020504994846977
overlapping_programs,ordinary_pca,50,934.8200151367985,0.008834669167066508,0.6114685609698824,0.0016578938580138274
overlapping_programs,ordinary_pca,51,933.2701827753548,0.008820022223316844,0.6202885831931992,0.0024435624428408684
overlapping_programs,ordinary_pca,52,930.9896788077017,0.008798469948266925,0.6290870531414662,0.0016572690480662754
overlapping_programs,ordinary_pca,53,929.4467784289445,0.008783888516351321,0.6378709416578174,0.001568790852843882
