a_factor_r2,b_factor_r2_under_a_map,belief_mean_state_cosine,factor,family,paired_standardized_l2,prediction_correlation
0.8662102222442627,0.8670875430107117,0.33696475625038147,0,RANDOM_40,14.627218246459961,0.8993857502937317
0.8853100538253784,0.8670207858085632,0.33696475625038147,1,RANDOM_40,14.627218246459961,0.9085785150527954
0.8629220128059387,0.8618723154067993,0.33696475625038147,2,RANDOM_40,14.627218246459961,0.9004656076431274
0.8706929087638855,0.8542182445526123,0.33696475625038147,3,RANDOM_40,14.627218246459961,0.9024704694747925
0.8927841782569885,0.9072561860084534,0.33696475625038147,4,RANDOM_40,14.627218246459961,0.925752580165863
0.8208686113357544,0.8563082218170166,0.33696475625038147,5,RANDOM_40,14.627218246459961,0.87164705991745
0.8452959060668945,0.8590367436408997,0.33696475625038147,6,RANDOM_40,14.627218246459961,0.8909507989883423
0.8935882449150085,0.8866167664527893,0.33696475625038147,7,RANDOM_40,14.627218246459961,0.919684648513794
0.8722796440124512,0.8606565594673157,0.33696475625038147,8,RANDOM_40,14.627218246459961,0.9052817225456238
0.8573700189590454,0.8483705520629883,0.33696475625038147,9,RANDOM_40,14.627218246459961,0.8907623291015625
0.8771631121635437,0.871050238609314,0.33696475625038147,10,RANDOM_40,14.627218246459961,0.9056819081306458
0.8611442446708679,0.8546892404556274,0.33696475625038147,11,RANDOM_40,14.627218246459961,0.8994790315628052
0.8132444620132446,0.8203071355819702,0.33696475625038147,12,RANDOM_40,14.627218246459961,0.8591895699501038
0.8372832536697388,0.8554434776306152,0.33696475625038147,13,RANDOM_40,14.627218246459961,0.8770919442176819
0.8020411729812622,0.8161143064498901,0.33696475625038147,14,RANDOM_40,14.627218246459961,0.8495127558708191
0.8189743757247925,0.8364577889442444,0.33696475625038147,15,RANDOM_40,14.627218246459961,0.8626995086669922
0.8568059206008911,0.8413003087043762,0.33696475625038147,16,RANDOM_40,14.627218246459961,0.8791135549545288
0.846250057220459,0.8461678624153137,0.33696475625038147,17,RANDOM_40,14.627218246459961,0.8885598182678223
0.847382128238678,0.8398474454879761,0.33696475625038147,18,RANDOM_40,14.627218246459961,0.8803038597106934
0.8762308359146118,0.8494831323623657,0.33696475625038147,19,RANDOM_40,14.627218246459961,0.8849702477455139
0.8429145812988281,0.84042888879776,0.33696475625038147,20,RANDOM_40,14.627218246459961,0.885136067867279
