cells,core_umi_mass,detected_core_tokens,donors,mean_core_umi_per_cell,mean_detected_tokens_per_cell,share_of_all_detected_tokens,share_of_all_umi_mass,source
198718,3325235103,805842415,41,16733.436845177588,4055.205945108143,0.061656275757252535,0.047324359740236493,HVS
236476,3147174010,845127929,17,13308.640242561612,3573.84228843519,0.0646620724730402,0.04479021494750612,NPH52
4118213,63792357727,11418946791,46,15490.300702513445,2772.7916916876325,0.8736816517697072,0.9078854253122574,SEA_AD
