burden_rung_percent,expected_detected_tokens_removed_uniform,expected_detection_entropy_removed_uniform,expected_fraction_of_detected_tokens_removed,expected_fraction_of_detection_entropy_removed,expected_fraction_of_umi_mass_removed,expected_umi_mass_removed_uniform,fraction_of_17185_non_target_core,implied_extra_detected_tokens_relative,implied_extra_detected_tokens_vs_uniform,implied_extra_detection_entropy_relative,implied_extra_umi_mass_relative,masked_addresses,swapped_share_of_mask,targeted_partner_cap
5,653267707.3760619,262.31446257429866,0.04998254393110672,0.049982543931106724,0.04998254393110672,3512011795.3892703,0.049985452429444285,0.010290215874013985,6722265.732421875,0.0035549406425869584,0.04842603905280195,859,0.009313154831199068,8
10,1306535414.7521238,524.6289251485973,0.09996508786221343,0.09996508786221345,0.09996508786221343,7024023590.778541,0.09997090485888857,0.005145107937006992,6722265.732421875,0.0017774703212934792,0.024213019526400974,1718,0.004656577415599534,8
15,1959803122.1281857,786.9433877228959,0.14994763179332016,0.14994763179332016,0.14994763179332016,10536035386.167812,0.14995635728833284,0.0034300719580046615,6722265.732421875,0.001184980214195653,0.016142013017600647,2577,0.0031043849437330227,8
20,2613831327.4173746,1049.5632221977467,0.1999883626207378,0.19998836262073783,0.19998836262073783,14052135670.259514,0.2,0.0025718054802961925,6722265.732421875,0.0008884765818976426,0.012102987357101212,3437,0.0023276112889147513,8
30,3920366742.1694984,1574.192147346344,0.29995345048295124,0.29995345048295124,0.29995345048295124,21076159261.038055,0.29997090485888855,0.0017147032853109627,6722265.732421875,0.000592375172062502,0.008069440843134212,5155,0.0015518913676042677,8
50,6534198069.586873,2623.7553695440906,0.49994181310368907,0.49994181310368907,0.49994181310368907,35128294931.29757,0.49997090485888857,0.0010287820572367334,6722265.732421875,0.0003554113142437381,0.004841476669734272,8592,0.000931098696461825,8
