pair,frac,median_jaccard,median_null,median_z,median_sign
HVS_VS_NPH52,0.01,0.002306510693607468,0.004622496147919877,-1.09068819830998,1.0
HVS_VS_NPH52,0.02,0.009675923214206735,0.010054137664346482,-0.17553392950595614,0.675
HVS_VS_NPH52,0.05,0.02480467687202244,0.025286659499192475,-0.3205302182581755,0.5666785206258891
HVS_VS_NPH52,0.1,0.05180059313656263,0.05239404393508936,-0.17569826617572618,0.5163567425637811
HVS_VS_SEA_AD,0.01,0.005397667827046359,0.005397667827046359,0.021112391419368326,1.0
HVS_VS_SEA_AD,0.02,0.012011000426326565,0.010054137664346482,0.6710679372970465,0.6145833333333333
HVS_VS_SEA_AD,0.05,0.026577749710956583,0.025769956002514142,0.3651073045958073,0.5197906026557713
HVS_VS_SEA_AD,0.1,0.05222437137330754,0.05218205916714613,0.0202767467134567,0.5075194621372965
NPH52_VS_SEA_AD,0.01,0.0077279752704791345,0.004622496147919877,0.9219598160201006,0.8285714285714285
NPH52_VS_SEA_AD,0.02,0.012011000426326565,0.010054137664346482,0.743106807593168,0.7416666666666667
NPH52_VS_SEA_AD,0.05,0.027546677719033998,0.025689389716305966,0.5823757114804282,0.540079365079365
NPH52_VS_SEA_AD,0.1,0.05905593598067103,0.052945702125907795,1.6659396708050551,0.5082908404154863
