panel,comparison,n,donors,real,null_median,null_p95,z
0,HVS_WITHIN_SPLIT,241.0,37.0,0.10735868024312603,0.0007204496379599674,0.009226785135192993,16.087202333369746
0,NPH52_WITHIN_SPLIT,161.0,16.0,0.06647774981893781,7.250293615200965e-05,0.008883554372894642,13.136999634203779
0,SEA_AD_WITHIN_SPLIT,255.0,46.0,0.2865736544056735,-0.0002901596421717834,0.01036345661282403,44.15237625464847
0,HVS_VS_NPH52,,,0.006931417802717437,0.001388174110963024,0.007773397785102556,1.3108211674600818
0,HVS_VS_SEA_AD,,,0.004722096510273478,-8.915504124056593e-05,0.0080879117096695,0.8399576867866523
0,NPH52_VS_SEA_AD,,,0.0058842024507813825,0.0013477935075999299,0.00786894663975868,1.0399019639803146
1,HVS_WITHIN_SPLIT,241.0,37.0,0.0783153882960557,0.0010665167715716432,0.010869026236515075,13.446390192645945
1,NPH52_WITHIN_SPLIT,161.0,16.0,0.06872035170169342,-0.0007079770299429482,0.008407300717619328,11.762597812636072
1,SEA_AD_WITHIN_SPLIT,255.0,46.0,0.21341153470335683,-0.0005323288530481695,0.007994521907611685,41.674699584618544
1,HVS_VS_NPH52,,,-0.002186629832245914,0.0007775083206427405,0.008746378897349298,-0.32448121856739803
1,HVS_VS_SEA_AD,,,-0.00646709919601405,0.00047230020056148885,0.00860152228794141,-1.3108940897772012
1,NPH52_VS_SEA_AD,,,0.004981317510983178,0.00016824066942992713,0.008629039867360227,0.9864216721340731
2,HVS_WITHIN_SPLIT,241.0,37.0,0.08265871927763621,-0.0002790899082413589,0.007700630671063956,14.685089703779298
2,NPH52_WITHIN_SPLIT,161.0,16.0,0.06818970552914805,-0.0005417533400934976,0.009996286883868773,10.914517137136233
2,SEA_AD_WITHIN_SPLIT,255.0,46.0,0.30377179626208967,-1.12960761322792e-05,0.007948992286770646,57.22739696780692
2,HVS_VS_NPH52,,,0.002210556073296647,0.00014613198667691934,0.007146966566606164,0.4929549543456479
2,HVS_VS_SEA_AD,,,0.0009461485100785527,0.0008150893779180679,0.009078098151913173,0.139273634286357
2,NPH52_VS_SEA_AD,,,0.0021584281809674008,0.0011860699142563582,0.007877103556376348,0.3091459696459627
3,HVS_WITHIN_SPLIT,241.0,37.0,0.1032190439619251,0.0014921510540129833,0.011262636758248862,17.89429188504982
3,NPH52_WITHIN_SPLIT,161.0,16.0,0.06893524697764918,0.0009102682420439627,0.010484172567316999,11.825822591471223
3,SEA_AD_WITHIN_SPLIT,255.0,46.0,0.25537280752430386,0.0004849187048347419,0.0077823327863543335,44.93713124036684
3,HVS_VS_NPH52,,,-0.00010963484910422408,0.00045687913384846767,0.008629737090832382,0.008378105720591795
3,HVS_VS_SEA_AD,,,0.0023575787079427547,1.1607890239589361e-05,0.010128052219265079,0.38052643286323545
3,NPH52_VS_SEA_AD,,,0.004646602925421573,-0.0014600043649781662,0.009012175271095418,0.9334256759141698
