broad_class,HVS_donors,SEA_donors,common_scalar,joint_variable,cos_41238,abs_41238,cos_17186_raw,abs_17186_raw,cos_17186_gene_z,abs_17186_gene_z
Neuronal: Glutamatergic,41,46,17186,15874,-0.03933980299237136,0.03933980299237136,0.0604783043525683,0.0604783043525683,-0.1168196841127834,0.1168196841127834
Neuronal: GABAergic,41,46,17186,14874,0.051578125343940934,0.051578125343940934,0.08184772232360651,0.08184772232360651,0.1775021995653222,0.1775021995653222
Non-neuronal and Non-neural,41,46,17186,14208,-0.008047853172044858,0.008047853172044858,-0.010950581133005564,0.010950581133005564,0.046850059016624014,0.046850059016624014
