source,n_units_half,trace_distance,hks_assignment_cost,null_trace_p05,null_assign_p05,trace_better_than_null_p05,assign_better_than_null_p05
HVS,24,0.06515538570051513,1.5658633686776924,0.0023003909726405677,0.38525199903649365,False,False
NPH52,24,0.005033784507651349,0.6130438287976118,0.00037959875944331486,0.4006122867337064,False,False
SEA_AD,24,0.011469265468241934,0.8446823840121208,0.0005962325630419579,0.44270756875216144,False,False
