"modality","target_gene","donors_with_unit","guides_D1","guides_D2","cells_D1","cells_D2","guide_count_support_ge2_both_donors","guide_level_variance_computed","engagement_scope","own_gene_status","engagement_log2fc","engagement_D1","engagement_D2"
"CRISPRi","ABCA1",2,5,5,46,30,TRUE,FALSE,"CROSS_DONOR_MEAN","ASSAYED_DETECTED",-0.223728919247635,-0.454779231680009,0.00732139318473912
"CRISPRi","ABCA7",2,5,5,49,28,TRUE,FALSE,"CROSS_DONOR_MEAN","ASSAYED_DETECTED",-1.25510517698736,-1.4538586547292,-1.05635169924552
"CRISPRi","ABI3",2,5,4,55,28,TRUE,FALSE,"CROSS_DONOR_MEAN","ASSAYED_DETECTED",-0.90384618581945,-0.92877516437095,-0.878917207267951
"CRISPRi","ACTB",2,5,5,122,60,TRUE,FALSE,"CROSS_DONOR_MEAN","ASSAYED_DETECTED",-0.416456424912242,-0.295198583744389,-0.537714266080096
"CRISPRi","ADA2",2,5,5,113,94,TRUE,FALSE,"CROSS_DONOR_MEAN","ASSAYED_DETECTED",-1.43546658118606,-1.63590850279574,-1.23502465957637
"CRISPRi","ADAM10",2,5,5,62,54,TRUE,FALSE,"CROSS_DONOR_MEAN","ASSAYED_DETECTED",-0.176632966337354,-0.290549432011419,-0.0627165006632895
"CRISPRi","ADGRG1",2,5,5,76,38,TRUE,FALSE,"CROSS_DONOR_MEAN","ASSAYED_UNDETECTED",0,0,0
"CRISPRi","AIF1",2,5,5,56,40,TRUE,FALSE,"CROSS_DONOR_MEAN","ASSAYED_DETECTED",-1.87748525182811,-1.7301094264051,-2.02486107725113
"CRISPRi","APOC1",2,5,5,49,41,TRUE,FALSE,"CROSS_DONOR_MEAN","ASSAYED_DETECTED",-1.06907639178277,-0.568951352096132,-1.5692014314694
"CRISPRi","APOE",2,4,4,123,56,TRUE,FALSE,"CROSS_DONOR_MEAN","ASSAYED_DETECTED",-0.561308030851865,-0.507512498710861,-0.615103562992868
"CRISPRi","APP",2,5,5,91,40,TRUE,FALSE,"CROSS_DONOR_MEAN","ASSAYED_DETECTED",-0.721610733126472,-0.717040976694193,-0.726180489558751
"CRISPRi","AXL",2,5,5,111,63,TRUE,FALSE,"CROSS_DONOR_MEAN","ASSAYED_DETECTED",-2.0711410594407,-2.42362824135725,-1.71865387752416
"CRISPRi","BIN1",2,5,5,92,41,TRUE,FALSE,"CROSS_DONOR_MEAN","ASSAYED_DETECTED",-0.843032985782196,-0.700930562217474,-0.985135409346917
"CRISPRi","C1QA",2,5,5,61,30,TRUE,FALSE,"CROSS_DONOR_MEAN","ASSAYED_DETECTED",-1.07967408245495,-0.91892195767538,-1.24042620723452
"CRISPRi","C1QB",2,5,5,182,89,TRUE,FALSE,"CROSS_DONOR_MEAN","ASSAYED_DETECTED",-0.828866163482058,-0.639442384500019,-1.0182899424641
"CRISPRi","C1QC",2,4,5,64,33,TRUE,FALSE,"CROSS_DONOR_MEAN","ASSAYED_DETECTED",-0.713263288333605,-0.515125164223454,-0.911401412443757
"CRISPRi","C3AR1",2,5,5,86,53,TRUE,FALSE,"CROSS_DONOR_MEAN","ASSAYED_DETECTED",-2.43185818734265,-2.22836811964093,-2.63534825504438
"CRISPRi","C9orf72",2,4,2,25,13,TRUE,FALSE,"CROSS_DONOR_MEAN","ASSAYED_DETECTED",-1.57564840693753,-0.789391578815851,-2.36190523505922
"CRISPRi","CCR2",2,5,4,136,97,TRUE,FALSE,"CROSS_DONOR_MEAN","ASSAYED_UNDETECTED",-0.102759390386835,-0.20551878077367,0
"CRISPRi","CD14",2,5,4,71,33,TRUE,FALSE,"CROSS_DONOR_MEAN","ASSAYED_DETECTED",-1.13937123228633,-1.09535432242703,-1.18338814214563
"CRISPRi","CD180",2,5,4,66,32,TRUE,FALSE,"CROSS_DONOR_MEAN","ASSAYED_DETECTED",-3.14100343015461,-2.45709678152107,-3.82491007878816
"CRISPRi","CD19",2,5,5,95,48,TRUE,FALSE,"CROSS_DONOR_MEAN","ASSAYED_DETECTED",-0.0281975273496047,-1.10316651602689,1.04677146132768
"CRISPRi","CD1D",2,5,5,154,88,TRUE,FALSE,"CROSS_DONOR_MEAN","ASSAYED_DETECTED",-1.62755685204835,-1.97080939869685,-1.28430430539985
"CRISPRi","CD200R1",2,5,5,45,15,TRUE,FALSE,"CROSS_DONOR_MEAN","ASSAYED_DETECTED",-2.92191408243485,-2.14627702990081,-3.69755113496889
"CRISPRi","CD226",2,3,4,27,28,TRUE,FALSE,"CROSS_DONOR_MEAN","ASSAYED_DETECTED",-1.56725207077955,-2.12614314090515,-1.00836100065395
"CRISPRi","CD300A",2,5,5,125,67,TRUE,FALSE,"CROSS_DONOR_MEAN","ASSAYED_DETECTED",-1.66075516932384,-1.78202776555817,-1.53948257308952
"CRISPRi","CD300C",2,5,5,98,61,TRUE,FALSE,"CROSS_DONOR_MEAN","ASSAYED_DETECTED",-1.13264723108387,-3.07474423829569,0.809449776127942
"CRISPRi","CD300LB",2,5,5,83,50,TRUE,FALSE,"CROSS_DONOR_MEAN","ASSAYED_DETECTED",-2.35596322375284,-3.20838499409043,-1.50354145341524
"CRISPRi","CD300LF",2,5,5,55,26,TRUE,FALSE,"CROSS_DONOR_MEAN","ASSAYED_UNDETECTED",-4.58156457145492,-4.66786921534916,-4.49525992756069
"CRISPRi","CD33",2,5,4,91,47,TRUE,FALSE,"CROSS_DONOR_MEAN","ASSAYED_DETECTED",-2.60267877452736,-3.15353165585414,-2.05182589320057
"CRISPRi","CD37",2,5,5,79,46,TRUE,FALSE,"CROSS_DONOR_MEAN","ASSAYED_DETECTED",-1.99414866789961,-1.56446481068832,-2.42383252511089
"CRISPRi","CD40",2,5,5,56,40,TRUE,FALSE,"CROSS_DONOR_MEAN","ASSAYED_DETECTED",-0.516558780071278,-0.0855610763135948,-0.947556483828961
"CRISPRi","CD44",2,5,5,76,35,TRUE,FALSE,"CROSS_DONOR_MEAN","ASSAYED_DETECTED",-0.571438077898613,-0.672110241470276,-0.470765914326949
"CRISPRi","CD48",2,5,4,64,32,TRUE,FALSE,"CROSS_DONOR_MEAN","ASSAYED_DETECTED",-2.81929940364774,-3.48961105408389,-2.14898775321159
"CRISPRi","CD52",2,5,3,47,24,TRUE,FALSE,"CROSS_DONOR_MEAN","ASSAYED_DETECTED",-1.37192709856518,-2.3211964259744,-0.422657771155958
"CRISPRi","CD58",2,5,4,73,37,TRUE,FALSE,"CROSS_DONOR_MEAN","ASSAYED_DETECTED",-1.22433088772306,-1.49479211194846,-0.953869663497665
"CRISPRi","CD68",2,5,4,108,54,TRUE,FALSE,"CROSS_DONOR_MEAN","ASSAYED_DETECTED",-1.66386990885553,-1.4261043077683,-1.90163550994277
"CRISPRi","CD69",2,5,5,88,46,TRUE,FALSE,"CROSS_DONOR_MEAN","ASSAYED_UNDETECTED",-3.00710080018912,-3.07474423829569,-2.93945736208256
"CRISPRi","CD80",2,5,4,35,18,TRUE,FALSE,"CROSS_DONOR_MEAN","ASSAYED_DETECTED",-2.35132220765111,-4.34274784096763,-0.359896574334599
"CRISPRi","CD81",2,5,5,85,33,TRUE,FALSE,"CROSS_DONOR_MEAN","ASSAYED_DETECTED",-0.625929194107367,-0.618671529132313,-0.633186859082421
"CRISPRi","CD86",2,5,5,107,70,TRUE,FALSE,"CROSS_DONOR_MEAN","ASSAYED_DETECTED",-0.568296880169867,-0.70108943094164,-0.435504329398094
"CRISPRi","CEMIP2",2,5,4,72,38,TRUE,FALSE,"CROSS_DONOR_MEAN","ASSAYED_DETECTED",-0.398193058437745,-0.599824767353708,-0.196561349521783
"CRISPRi","CHRNE",2,5,5,78,35,TRUE,FALSE,"CROSS_DONOR_MEAN","ASSAYED_DETECTED",-1.3844482808001,-0.934647892342527,-1.83424866925768
"CRISPRi","CLDN7",2,5,5,63,25,TRUE,FALSE,"CROSS_DONOR_MEAN","ASSAYED_DETECTED",-0.93971315048472,-0.785392777015589,-1.09403352395385
"CRISPRi","CLEC2B",2,4,5,26,28,TRUE,FALSE,"CROSS_DONOR_MEAN","ASSAYED_DETECTED",-0.795304088736134,-1.46335941944181,-0.127248758030455
"CRISPRi","CLEC2D",2,5,5,64,54,TRUE,FALSE,"CROSS_DONOR_MEAN","ASSAYED_DETECTED",-0.246337603288549,-0.508507574284887,0.0158323677077883
"CRISPRi","CLEC7A",2,5,5,41,17,TRUE,FALSE,"CROSS_DONOR_MEAN","ASSAYED_DETECTED",-1.48718696557182,-1.311622537425,-1.66275139371863
"CRISPRi","CLECL1",2,5,4,56,36,TRUE,FALSE,"CROSS_DONOR_MEAN","ASSAYED_DETECTED",-2.51967589140492,-2.64204837273972,-2.39730341007011
"CRISPRi","CLIC1",2,5,3,60,29,TRUE,FALSE,"CROSS_DONOR_MEAN","ASSAYED_DETECTED",-1.05111018664693,-1.17630460220752,-0.925915771086343
"CRISPRi","CLN3",2,3,3,46,28,TRUE,FALSE,"CROSS_DONOR_MEAN","ASSAYED_DETECTED",-0.520401331400266,-0.858952529188182,-0.18185013361235
"CRISPRi","CLU",2,5,5,129,75,TRUE,FALSE,"CROSS_DONOR_MEAN","ASSAYED_UNDETECTED",-0.192688920017222,-0.385377840034444,0
"CRISPRi","CR1",2,5,5,117,78,TRUE,FALSE,"CROSS_DONOR_MEAN","ASSAYED_DETECTED",-0.733761951420338,-1.22844869308719,-0.23907520975349
"CRISPRi","CR2",2,5,5,173,110,TRUE,FALSE,"CROSS_DONOR_MEAN","ASSAYED_UNDETECTED",-0.0532079706476201,-0.10641594129524,0
"CRISPRi","CSF1R",2,5,5,108,63,TRUE,FALSE,"CROSS_DONOR_MEAN","ASSAYED_DETECTED",-0.505038281606485,-0.62277022657323,-0.38730633663974
"CRISPRi","CSF2RA",2,5,5,81,31,TRUE,FALSE,"CROSS_DONOR_MEAN","ASSAYED_DETECTED",-2.2742310934142,-1.69768383042034,-2.85077835640807
"CRISPRi","CSF2RB",2,5,5,120,50,TRUE,FALSE,"CROSS_DONOR_MEAN","ASSAYED_DETECTED",-1.55220196114969,-1.10765192524611,-1.99675199705327
"CRISPRi","CSF3R",2,5,5,51,34,TRUE,FALSE,"CROSS_DONOR_MEAN","ASSAYED_DETECTED",-2.35980670987589,-3.05740802897544,-1.66220539077635
"CRISPRi","CTLA4",2,5,3,31,16,TRUE,FALSE,"CROSS_DONOR_MEAN","ASSAYED_UNDETECTED",-0.670658056798985,-0.20551878077367,-1.1357973328243
"CRISPRi","CTSB",2,5,5,72,47,TRUE,FALSE,"CROSS_DONOR_MEAN","ASSAYED_DETECTED",-0.087784825829381,-0.1320529602497,-0.0435166914090619
"CRISPRi","CTSH",2,5,4,140,75,TRUE,FALSE,"CROSS_DONOR_MEAN","ASSAYED_DETECTED",-0.310967519597494,-0.451348868749312,-0.170586170445675
"CRISPRi","CXCR3",2,4,4,67,32,TRUE,FALSE,"CROSS_DONOR_MEAN","ASSAYED_UNDETECTED",-0.113905713577993,0,-0.227811427155985
"CRISPRi","CXCR4",2,5,5,96,74,TRUE,FALSE,"CROSS_DONOR_MEAN","ASSAYED_DETECTED",-0.865385589037987,-1.18060724898361,-0.550163929092365
"CRISPRi","DPYD",2,5,5,93,58,TRUE,FALSE,"CROSS_DONOR_MEAN","ASSAYED_DETECTED",-1.30691302827874,-1.40973383155935,-1.20409222499814
"CRISPRi","EPHA1",2,5,4,119,66,TRUE,FALSE,"CROSS_DONOR_MEAN","ASSAYED_UNDETECTED",-0.113905713577993,0,-0.227811427155985
"CRISPRi","FCER1G",2,5,5,131,73,TRUE,FALSE,"CROSS_DONOR_MEAN","ASSAYED_DETECTED",-1.11556137549877,-1.24858966211653,-0.982533088881006
"CRISPRi","FCGR1A",2,4,3,36,13,TRUE,FALSE,"CROSS_DONOR_MEAN","ASSAYED_DETECTED",-2.62844611544564,-1.05151343562591,-4.20537879526536
"CRISPRi","FCGR2A",2,5,4,104,74,TRUE,FALSE,"CROSS_DONOR_MEAN","ASSAYED_DETECTED",-1.33914716672099,-1.24432837121523,-1.43396596222675
"CRISPRi","FCGR2B",2,3,4,26,32,TRUE,FALSE,"CROSS_DONOR_MEAN","ASSAYED_DETECTED",0.222212116704078,-0.208063517382214,0.65248775079037
"CRISPRi","FCGR2C",2,5,5,87,56,TRUE,FALSE,"CROSS_DONOR_MEAN","STRUCTURALLY_UNMEASURED",NA,NA,NA
"CRISPRi","FCGR3A",2,5,3,111,64,TRUE,FALSE,"CROSS_DONOR_MEAN","ASSAYED_DETECTED",-1.72380656912408,-1.87719394570922,-1.57041919253894
"CRISPRi","FCGR3B",2,5,4,104,72,TRUE,FALSE,"CROSS_DONOR_MEAN","ASSAYED_DETECTED",-1.13915699896621,-0.933761607840444,-1.34455239009198
"CRISPRi","FERMT3",2,5,5,89,59,TRUE,FALSE,"CROSS_DONOR_MEAN","ASSAYED_DETECTED",-0.955926860453013,-1.13216674042688,-0.779686980479142
"CRISPRi","FLT1",2,5,5,86,36,TRUE,FALSE,"CROSS_DONOR_MEAN","ASSAYED_UNDETECTED",-0.850370922713163,-1.10316651602689,-0.597575329399437
"CRISPRi","FOLR2",2,5,4,110,82,TRUE,FALSE,"CROSS_DONOR_MEAN","ASSAYED_DETECTED",-0.33400540970653,-0.0944484833692703,-0.573562336043789
"CRISPRi","FPR1",2,5,4,87,47,TRUE,FALSE,"CROSS_DONOR_MEAN","ASSAYED_DETECTED",-0.696967918699881,-0.527253406300503,-0.866682431099259
"CRISPRi","FPR2",2,5,5,184,114,TRUE,FALSE,"CROSS_DONOR_MEAN","ASSAYED_DETECTED",-2.57198457587949,-2.31654033905731,-2.82742881270168
"CRISPRi","FPR3",2,5,3,52,18,TRUE,FALSE,"CROSS_DONOR_MEAN","ASSAYED_DETECTED",-1.23608529495262,-1.12726594243277,-1.34490464747246
"CRISPRi","GBA",2,5,4,81,51,TRUE,FALSE,"CROSS_DONOR_MEAN","ASSAYED_DETECTED",-1.25035062941084,-1.78797105244026,-0.712730206381411
"CRISPRi","GPNMB",2,5,5,38,15,TRUE,FALSE,"CROSS_DONOR_MEAN","ASSAYED_DETECTED",-0.645019805154551,-0.458795541066918,-0.831244069242183
"CRISPRi","GPR141",2,5,5,60,36,TRUE,FALSE,"CROSS_DONOR_MEAN","ASSAYED_DETECTED",-1.59096165669627,-0.449679206337899,-2.73224410705463
"CRISPRi","GPR183",2,5,4,68,33,TRUE,FALSE,"CROSS_DONOR_MEAN","ASSAYED_DETECTED",-1.6290123891504,-2.00404941497979,-1.25397536332101
"CRISPRi","GPR65",2,5,4,51,36,TRUE,FALSE,"CROSS_DONOR_MEAN","ASSAYED_DETECTED",-1.87149019593013,-1.6080545256245,-2.13492586623576
"CRISPRi","GPR87",2,5,5,34,21,TRUE,FALSE,"CROSS_DONOR_MEAN","ASSAYED_UNDETECTED",0,0,0
"CRISPRi","GRN",2,5,4,54,29,TRUE,FALSE,"CROSS_DONOR_MEAN","ASSAYED_DETECTED",-1.00477527666465,-1.18488204401747,-0.824668509311826
"CRISPRi","HAVCR1",1,3,2,17,7,TRUE,FALSE,"DONOR_SPECIFIC_D1","ASSAYED_DETECTED",1.09357450945813,1.09357450945813,NA
"CRISPRi","HEXA",2,5,5,50,38,TRUE,FALSE,"CROSS_DONOR_MEAN","ASSAYED_DETECTED",-1.11623804104311,-1.28102045523224,-0.951455626853971
"CRISPRi","HEXB",2,5,5,61,43,TRUE,FALSE,"CROSS_DONOR_MEAN","ASSAYED_DETECTED",-1.14470797064748,-1.17784984251054,-1.11156609878443
"CRISPRi","HLA-DRB5",2,5,5,53,28,TRUE,FALSE,"CROSS_DONOR_MEAN","ASSAYED_DETECTED",-0.510745657501347,-0.548609641575226,-0.472881673427469
"CRISPRi","ICAM1",2,5,5,112,55,TRUE,FALSE,"CROSS_DONOR_MEAN","ASSAYED_DETECTED",-1.29980797646112,-1.34849821300986,-1.25111773991238
"CRISPRi","ICAM3",2,5,5,82,34,TRUE,FALSE,"CROSS_DONOR_MEAN","ASSAYED_UNDETECTED",-2.18949687629829,-2.12704557848477,-2.25194817411181
"CRISPRi","IFNGR1",2,5,4,63,27,TRUE,FALSE,"CROSS_DONOR_MEAN","ASSAYED_DETECTED",-0.818024408498176,-1.06779364114731,-0.568255175849042
"CRISPRi","IFNGR2",2,5,5,84,46,TRUE,FALSE,"CROSS_DONOR_MEAN","ASSAYED_DETECTED",-0.808330400656601,-0.691028449851435,-0.925632351461768
"CRISPRi","IL10",2,5,5,83,56,TRUE,FALSE,"CROSS_DONOR_MEAN","ASSAYED_DETECTED",-0.874324444115397,-1.29185962800525,-0.456789260225548
"CRISPRi","IL15",2,5,4,156,83,TRUE,FALSE,"CROSS_DONOR_MEAN","ASSAYED_DETECTED",-0.326088784344662,-0.0756680072379696,-0.576509561451354
"CRISPRi","IL15RA",2,5,4,124,58,TRUE,FALSE,"CROSS_DONOR_MEAN","ASSAYED_DETECTED",-1.49505599556762,-1.60811522450375,-1.38199676663148
