role,path,sha256,bytes
bound_source,configs/v4/c2_t1_gradient_forensic_v1.json,9b54bae1e04030673b1a37b20cefeab8a2a486b5932efe519b5a996809c5b63f,3392
bound_source,configs/v4/c2_t1_gradient_forensic_v2.json,fe1dccf76cdcf8b0fc699bdafb94fc8b0ef86e643839918d12055c3a36e4d68b,5753
bound_source,docs/agent/C2_T1_GRADIENT_FORENSIC_CONTRACT_20260905.md,4e2b7b0bc740111db292e9de7956da383dfb596384026b147cccc01b1b33d230,2615
bound_source,docs/agent/C2_V3_HISTORICAL_PATH_CORRESPONDENCE.md,542e4820356e8ad2b898a988333e027946559394c916d5296fd5974c3d7e57d7,18815
bound_source,scripts/v4/c2_attention_cast_variant_v3.py,e3fb64164a871d1a0cf63b0a394dbe23167ece4caad3f91496fad792cd1bded8,6942
bound_source,scripts/v4/c2_corrective_run_update_v3.py,b6c88812fd726192747dc36e0e6fb090f1e2bcc6b01ef04fc8ae7a0c9bf9ae42,4387
bound_source,scripts/v4/c2_mandatory_gradient_gate_v1.py,49e13c097b0abc7b8e60a6b8a6761fa261ba3d82297f8a70396763e6dc0d63b0,3984
bound_source,scripts/v4/c2_probe_attention_boundary_v3.py,cd45db2f2fbdb7948c22a3ce0b4360c75fdb3c803cc4b99c61c1ad2d1486ba81,7120
bound_source,scripts/v4/c2_synthetic_loader_v3.py,179a93c296e19503d76d44895724c32f17d642c9d56702f2d67e1db8810379b6,5878
bound_source,scripts/v4/run_c2_t1_exact_path_forensic_v3.py,102bb2f9296965631bb9a240d83f7d7123996d766098e21d7e71bf328833cf14,16715
bound_source,scripts/v4/run_c2_t1_gradient_forensic_v1.py,fe16ed89814fe758890dbc72cda039ae89b08829b3b6853a22ac68c530fbee64,20704
bound_source,tests/test_c2_mandatory_gradient_gate_v1.py,e71b721d4a9cfee54e82723925b2410d9ff7e690f79c89fdb2ba423ec7147614,5898
bound_source,tests/test_c2_synthetic_loader_v3.py,d00822f5b632314ac6c58ded4b6110e9357e6db11951a5dba92881053a2062e5,6186
bound_source,tests/test_c2_t1_checkpoint_gradient_provenance_v1.py,d7b2659d6b0035f33189410f3aacdafb0c76250efbe73992a7c0e3658cd99642,3703
bound_source,tests/test_c2_t1_gradient_forensic_v1.py,f0b0d6aeda234591801da436750f5956eafc8a845c5a631699975456060777d2,10885
result,C2_CAUSAL_CONDITION_ESTABLISHED.md,585528a0f48b1c2ab7c6060238cc1c85a0e735fd6ab4f4e3ac256bf3d6be92e4,5854
result,C2_K0_K1_SOURCE_DIFF.txt,d0cd70bae1e71e35d4ee02a09c8954360a155215af22998fee17d3314075caf9,1332
result,C2_PROVISIONAL_RESULT.md,da3ef84750a01aee39516894fb000d5fc59c603480b40164798047380ddfe440,5276
result,C2_V3_LOCALIZATION.md,bf53833b1056475368cf047c469c4b20c603e104f9f69c68e8b7121fdc96f3a8,5898
