partition,source,cells,donors,operators,native_classes,broad_classes,cell_fraction_within_partition,donor_fraction_within_partition
reader_fit,HVS,198718,41,24,24,3,0.04364160726243009,0.3942307692307692
reader_fit,NPH52,236476,17,7,7,1,0.05193385963521381,0.16346153846153846
reader_fit,SEA_AD,4118213,46,11,46,20,0.9044245331023562,0.4423076923076923
reader_oracle,HVS,55848,11,24,24,3,0.06560203919818164,0.4782608695652174
reader_oracle,NPH52,28925,2,7,7,1,0.03397684758285711,0.08695652173913043
reader_oracle,SEA_AD,766542,10,11,46,20,0.9004211132189612,0.43478260869565216
reader_validation,HVS,53933,10,24,24,3,0.05694956131319883,0.45454545454545453
reader_validation,SEA_AD,893098,12,11,46,20,0.9430504386868012,0.5454545454545454
