source,support_fingerprint,cells,donors,operators,native_classes
HVS,09bbb5f763bf8ec9f53add7c30c447a9e90dda0e9deaddc334977af2bec241f5,198718,41,24,24
NPH52,04bafae86b24fa5765ea4955ba8e7481d2f2b6e3c74ecc6b050024fca37971a1,127470,16,1,1
NPH52,0b601b8014b1a649c086a4c942c66405807086ae9acadda462d688b2aeb6f1ba,43980,14,1,1
NPH52,f1cf12a9f1db6930205095ec44a3532ed60fbdc78ae9c18c46ac510d8b938032,18176,14,1,1
NPH52,86e45126ba43ffd9eeba177df842362119178a234867f877c01720aa88ca00fd,17877,16,1,1
NPH52,0032504dd6886dcd51d3bc3eaed844185a3db00509dcd02ebbb8029f72e26464,15264,16,1,1
NPH52,160120f3d723aa593f7e7f463c11e69f73eff661418e1a198be84d089f127e48,8825,16,1,1
NPH52,8ac8459f9eeb076aaad40ae684eb7348976734f97a05855ea0fb911d0b9c1ae9,4884,17,1,1
SEA_AD,fc6f9037a6b13d155f8bc984e364bbce60222105da6f3c28459516400a64e774,4118213,46,11,46
