source,cells,donors,operators,native_classes,broad_classes,support_fingerprints,cell_fraction,donor_fraction,cell_weighted_measured_scalar_fraction,cell_weighted_structurally_unmeasured_fraction,cell_weighted_collision_unresolved_fraction,missing_broad,broad_missing_fraction
HVS,198718,41,24,24,3,1,0.04364160726243009,0.3942307692307692,0.4543382317280179,0.5456617682719823,0.0,0,0.0
NPH52,236476,17,7,7,1,7,0.05193385963521381,0.16346153846153846,0.8070538124992247,0.1797337120775474,0.0132124754232278,236476,1.0
SEA_AD,4118213,46,11,46,20,1,0.9044245331023562,0.4423076923076923,0.8505747126436781,0.1322081575246132,0.0172171298317086,0,0.0
