source_a,source_b,support_kind,a_n,b_n,intersection,union,jaccard,a_fraction_shared,b_fraction_shared
HVS,NPH52,all,18736,29136,17392,30480,0.5706036745406824,0.928266438941076,0.5969247666117518
HVS,NPH52,any,18736,35098,17595,36239,0.48552664256739975,0.939101195559351,0.5013106159895151
HVS,SEA_AD,all,18736,35076,17757,36055,0.49249757315212866,0.9477476515798463,0.5062435853575095
HVS,SEA_AD,any,18736,35076,17757,36055,0.49249757315212866,0.9477476515798463,0.5062435853575095
NPH52,SEA_AD,all,29136,35076,26900,37312,0.7209476843910806,0.9232564524986271,0.7669061466529821
NPH52,SEA_AD,any,35098,35076,29955,40219,0.7447972351376215,0.8534674340418258,0.8540027369141293
