source,operator_index,matrix_id,cells,native_classes,dominant_native_class_share
HVS,0,HVS::19cd530b-622c-4bd8-b738-dbf169412cb0,2441,1,1.0
HVS,1,HVS::38374d1b-6549-4429-b59a-ff2706dacd96,4355,1,1.0
HVS,2,HVS::42c9001a-3a29-4952-aaa0-b55e73851a5c,278,1,1.0
HVS,3,HVS::4afcaa14-e1c1-4b2b-b5af-c5b8936c3ddd,10300,1,1.0
HVS,4,HVS::57f3c92b-a07a-41da-b660-88eb9f93c4c9,43616,1,1.0
HVS,5,HVS::5e9da577-f665-44af-b9b4-fa0d5ad1964d,179,1,1.0
HVS,6,HVS::5fff0955-173e-407d-b160-64f513ca6db6,14702,1,1.0
HVS,7,HVS::6201fd7d-f35b-4487-bace-99426881237b,2687,1,1.0
HVS,8,HVS::77dc6994-2777-4fad-a445-4ff7d143a682,3666,1,1.0
HVS,9,HVS::7958eba0-1d79-42e3-8947-a198f98578f2,788,1,1.0
HVS,10,HVS::7b96819c-598c-47a1-9cea-f410fc0c37fa,30706,1,1.0
HVS,11,HVS::7be9f52d-7eef-4bdd-a0ba-c8f2d4986551,8733,1,1.0
HVS,12,HVS::8dfadc37-e19c-4d4b-80d8-cee48e732bcf,2294,1,1.0
HVS,13,HVS::900faaa3-adec-4fd9-81b0-1e90a2ab256f,332,1,1.0
HVS,14,HVS::9adebd17-bc24-47b6-acdb-0db488bc602d,3076,1,1.0
HVS,15,HVS::a9b5738d-997d-433f-8d86-12dbfc8f01fb,5734,1,1.0
HVS,16,HVS::ab88770a-7a74-4da5-a166-d68f02d644f2,9005,1,1.0
HVS,17,HVS::bb3c4200-5c1b-4f8a-a846-e021919b7241,4371,1,1.0
HVS,18,HVS::c3b47645-c927-4a0a-868f-eb7640ea3354,15373,1,1.0
HVS,19,HVS::c5e9db26-7b51-4290-b721-dd540ac906b1,2117,1,1.0
HVS,20,HVS::c9143d44-4c95-4f06-8edc-e03d3491ab97,17373,1,1.0
HVS,21,HVS::d1303087-592a-4c3d-aa3e-21de203927dc,15404,1,1.0
HVS,22,HVS::e813d04b-7833-4b02-b14f-0247d6128516,889,1,1.0
HVS,23,HVS::f8975a92-8ddb-4dde-adbe-977a4b3e4e96,299,1,1.0
NPH52,35,NPH52::matrix::Astro_data_arranged_updatedId_final_batches.qs,17877,1,1.0
NPH52,36,NPH52::matrix::Endo_data_arranged_updatedId_final_batches.qs,4884,1,1.0
NPH52,37,NPH52::matrix::ExN_data_arranged_updatedId_final_batches.qs,43980,1,1.0
NPH52,38,NPH52::matrix::InN_data_arranged_updatedId_final_batches.qs,18176,1,1.0
NPH52,39,NPH52::matrix::MG_data_arranged_updatedId_final_batches.qs,15264,1,1.0
NPH52,40,NPH52::matrix::OPC_data_arranged_updatedId_final_batches.qs,8825,1,1.0
NPH52,41,NPH52::matrix::Oligo_data_arranged_updatedId_final_batches.qs,127470,1,1.0
SEA_AD,24,sea_ad_ang_rna_final_2026,154093,24,0.20074889839252918
SEA_AD,25,sea_ad_caudate_rna_all_2025,634083,17,0.2693700982363508
SEA_AD,26,sea_ad_fi_rna_final_2026,175832,24,0.1964033850493653
SEA_AD,27,sea_ad_hip_rna_final_2026,139307,23,0.27392736904821724
SEA_AD,28,sea_ad_itg_rna_final_2026,259312,24,0.22890957610908866
SEA_AD,29,sea_ad_lec_rna_final_2026,115426,24,0.2915547623585674
SEA_AD,30,sea_ad_mec_rna_final_2026,511761,26,0.24333429081153116
SEA_AD,31,sea_ad_mtg_rna_final_2026,638150,24,0.23458434537334483
SEA_AD,32,sea_ad_pfc_a9_rna_final_2026,732360,24,0.2523349172538096
SEA_AD,33,sea_ad_stg_rna_final_2026,346085,24,0.28626782437840415
SEA_AD,34,sea_ad_v1c_rna_final_2026,411804,24,0.28554846480364443
