donor_id,regions,cells,min_region_cells,max_region_cells
H19.33.004,11,119240,1539,27431
H20.33.001,10,137980,4827,28761
H20.33.004,3,45334,7371,20411
H20.33.008,11,127977,3275,21942
H20.33.011,11,146564,4251,24279
H20.33.012,11,145427,4218,42209
H20.33.013,11,153523,5495,26883
H20.33.017,11,138533,2506,27408
H20.33.018,9,121802,2614,37629
H20.33.020,11,118155,3927,18562
H20.33.024,3,41496,7579,18977
H20.33.026,11,151332,5511,28836
H20.33.027,11,169013,4773,40161
H20.33.029,11,118073,4637,18722
H20.33.030,3,53561,14101,22572
H20.33.031,11,122906,4873,16486
H20.33.035,11,142022,5326,26712
H20.33.036,11,60221,1621,20478
H20.33.037,9,56932,1171,17280
H20.33.038,3,12716,1515,8283
H20.33.039,11,167476,6078,28788
H20.33.040,11,149084,4701,25025
H20.33.041,3,41569,11790,15603
H20.33.043,2,42707,17876,24831
H20.33.044,3,47425,14691,17471
H21.33.001,11,154771,3354,41326
H21.33.002,11,130315,3385,21293
H21.33.005,3,36330,5467,15933
H21.33.009,2,14624,4169,10455
H21.33.010,2,27169,10274,16895
H21.33.012,3,35751,5238,15974
H21.33.014,3,41808,13541,14597
H21.33.017,3,32073,7173,15602
H21.33.018,11,104792,3653,15813
H21.33.025,3,35492,11255,12715
H21.33.028,11,101944,3994,14431
H21.33.032,11,174111,7462,33611
H21.33.033,11,80541,2905,14494
H21.33.034,3,9127,706,5752
H21.33.035,10,123842,3549,21767
H21.33.036,11,140780,5833,33112
H21.33.039,9,70415,2988,15725
H21.33.040,3,42667,9857,17751
H21.33.042,3,48366,13945,20302
H21.33.043,3,42970,11560,16998
H21.33.047,3,39257,11665,14329
