source,support_pattern_sha256,operators,measured_scalar_addresses
HVS,5e1ee7620d46de48f7baf2e720d5635d04e940a79b285e751732f8a8b9c73613,24,18736
NPH52,e40ef79d59d551b610de885fbd30c8897017b059d850d8897e871f3a77643e07,1,30294
NPH52,a9d8698f4023b1ec79320d7f712f583885adc20abe2a0c3c31bd6a0b9a410fd8,1,31131
NPH52,f6ab88ccc937b8d4813cee5c771ae912f58265f732dc3dbc8c860de6d36388a9,1,31399
NPH52,10c7d9f35eec8c4ec2b035cb0a357415c1d83cafe5153b9cef6ba3dd3480a04b,1,32445
NPH52,302a26485cf63905fd7e87cc52fc38c1ca806fb217223d9846dd0da1e8e9010c,1,33205
NPH52,55072065005fd5e71c70b25ee4fd2a53a4fa424423d3e5156b400bfda29fd02c,1,33524
NPH52,4a28226c9e63ac18d5a1e14b80d944d065f2b1e3d680fb9e92067430362c9568,1,34405
SEA_AD,79fe99bea56046321bd7b32d434540d2eb65abc6ea6f9480611b55bbada5bf76,11,35076
