source,cells,nnz,measurable_slots,detected_fraction_measurable,measured_zero_fraction_measurable,mean_nnz_per_cell
HVS,10958,48382485,205309088,0.23565681125620702,0.764343188743793,4415.266015696295
SEA_AD,33821,177871440,1186305396,0.14993731007188305,0.850062689928117,5259.20108808137
NPH52,5221,20448144,173422632,0.11790931647260433,0.8820906835273956,3916.518674583413
