update,online_mean_drift,online_median_drift,online_p99,online_max,target_mean_drift,target_median_drift,target_p99,target_max,zero_online
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41238
10,0.005684364,0.0058714673,0.0060552396,0.0061524943,0.0001285105,0.00013249856,0.0001371164,0.00013898988,0
25,0.011185449,0.011585824,0.011968459,0.012283219,0.0006355992,0.0006574241,0.000676491,0.0006943002,0
50,0.014100983,0.014615017,0.015167908,0.015533003,0.0017997804,0.001864159,0.0019277539,0.0019744544,0
100,0.015046988,0.0155406445,0.016466081,0.017101683,0.004107436,0.004257112,0.004402912,0.004496686,0
200,0.016921695,0.016504364,0.020260995,0.021747358,0.0079489285,0.008149622,0.008848856,0.00926181,0
205,0.01702271,0.01655404,0.02046415,0.021984847,0.008120871,0.008313776,0.009064658,0.009497228,0
