panel,source,split,half,observed,null_p95,null_max,margin_p95,observed_donors,null_donors_min,null_donors_max,pass
0,HVS,0,0,0.645161290323,0.539473684211,0.540322580645,0.105687606112,19,19,19,True
0,HVS,0,1,0.685483870968,0.526315789474,0.539473684211,0.159168081494,17,17,17,True
0,HVS,1,0,0.668859649123,0.527161654135,0.5375,0.141697994987,16,16,16,True
0,HVS,1,1,0.633646616541,0.528782894737,0.542220113852,0.104863721805,20,20,20,True
0,NPH52,0,0,0.669771945641,0.57560483871,0.585446428571,0.0941671069312,8,8,8,True
0,NPH52,0,1,0.67617781155,0.561820199778,0.56779712431,0.114357611772,8,8,8,True
0,NPH52,1,0,0.697368421053,0.575949367089,0.610932475884,0.121419053964,9,9,9,True
0,NPH52,1,1,0.65625,0.5625,0.576612903226,0.09375,7,7,7,True
0,SEA_AD,0,0,0.74179743224,0.697274031564,0.701578192253,0.0445234006758,23,23,23,True
0,SEA_AD,0,1,0.730600292826,0.692708333333,0.697916666667,0.0378919594924,23,23,23,True
0,SEA_AD,1,0,0.731922398589,0.694404591105,0.697916666667,0.0375178074843,23,23,23,True
0,SEA_AD,1,1,0.745376955903,0.692708333333,0.6953125,0.0526686225699,23,23,23,True
1,HVS,0,0,0.641741071429,0.529159232828,0.541172643146,0.112581838601,20,20,20,True
1,HVS,0,1,0.664884868421,0.518483709273,0.528571428571,0.146401159148,16,16,16,True
1,HVS,1,0,0.655701754386,0.517680921053,0.526666666667,0.138020833333,18,18,18,True
1,HVS,1,1,0.644736842105,0.521848739496,0.554411764706,0.122888102609,18,18,18,True
1,NPH52,0,0,0.670886075949,0.556603773585,0.560283687943,0.114282302364,9,9,9,True
1,NPH52,0,1,0.677852348993,0.592948717949,0.607382550336,0.0849036310446,7,7,7,True
1,NPH52,1,0,0.671052631579,0.568571428571,0.582278481013,0.102481203008,9,9,9,True
1,NPH52,1,1,0.673758865248,0.568548387097,0.592948717949,0.105210478151,7,7,7,True
1,SEA_AD,0,0,0.747093023256,0.684210526316,0.691977077364,0.06288249694,23,23,23,True
1,SEA_AD,0,1,0.734375,0.681985294118,0.68660968661,0.0523897058824,23,23,23,True
1,SEA_AD,1,0,0.740849194729,0.685039370079,0.689473684211,0.0558098246504,23,23,23,True
1,SEA_AD,1,1,0.741124260355,0.681547619048,0.689208633094,0.0595766413074,23,23,23,True
