matrix_id,partition,operator_index,at8_available_donors,donors_with_min_cells,immune_cells_total,cells_per_donor_min,cells_per_donor_median,cells_per_donor_max,is_the_v20_population,residual_df,power_at_v20_effect,power_at_illustrative_shrunk_effect,t_needed_for_80_percent_power
sea_ad_ang_rna_final_2026,reader_fit,24,27,25,6244,45,226,490,False,20,0.5713496942850755,0.3615098054386891,2.9460000000000024
sea_ad_ang_rna_final_2026,reader_oracle,24,5,5,1175,129,255,299,False,0,,,
sea_ad_ang_rna_final_2026,reader_validation,24,5,5,1190,104,236,381,False,0,,,
sea_ad_fi_rna_final_2026,reader_fit,26,27,27,11226,169,386,741,False,22,0.6079318005964736,0.3882404539227881,2.9320000000000026
sea_ad_fi_rna_final_2026,reader_oracle,26,4,4,1341,230,316,479,False,-1,,,
sea_ad_fi_rna_final_2026,reader_validation,26,4,4,2028,219,493,823,False,-1,,,
sea_ad_hip_rna_final_2026,reader_fit,27,27,26,9128,36,382,655,False,21,0.58994950606065,0.37495363165012013,2.9390000000000027
sea_ad_hip_rna_final_2026,reader_oracle,27,4,4,1485,276,331,546,False,-1,,,
sea_ad_hip_rna_final_2026,reader_validation,27,4,3,1220,45,319,537,False,-2,,,
sea_ad_itg_rna_final_2026,reader_fit,28,27,25,10375,44,307,921,False,20,0.5713496942850755,0.3615098054386891,2.9460000000000024
sea_ad_itg_rna_final_2026,reader_oracle,28,5,5,1320,120,265,413,False,0,,,
sea_ad_itg_rna_final_2026,reader_validation,28,5,5,2062,166,466,649,False,0,,,
sea_ad_lec_rna_final_2026,reader_fit,29,22,21,8255,37,363,755,False,16,0.4906736737119289,0.3062138009026418,2.9850000000000025
sea_ad_lec_rna_final_2026,reader_oracle,29,4,4,1088,193,276,342,False,-1,,,
sea_ad_lec_rna_final_2026,reader_validation,29,3,3,649,142,191,316,False,-2,,,
sea_ad_mec_rna_final_2026,reader_fit,30,44,43,31619,33,647,2423,False,38,0.8195305026362281,0.5775137160245654,2.8750000000000027
sea_ad_mec_rna_final_2026,reader_oracle,30,9,8,7851,69,807,1746,False,3,0.14734593710707564,0.10220054582764186,4.256000000000004
sea_ad_mec_rna_final_2026,reader_validation,30,12,12,10928,101,797,1772,False,7,0.2705955558899492,0.1721326518567757,3.270000000000003
sea_ad_mtg_rna_final_2026,reader_fit,31,46,45,20804,67,386,964,True,40,0.8373163736407945,0.5979139988951836,2.8720000000000026
sea_ad_mtg_rna_final_2026,reader_oracle,31,10,10,3142,94,256,807,False,5,0.21243090989696747,0.1390152835896431,3.514000000000003
sea_ad_mtg_rna_final_2026,reader_validation,31,12,12,4423,168,342,1015,False,7,0.2705955558899492,0.1721326518567757,3.270000000000003
sea_ad_pfc_a9_rna_final_2026,reader_fit,32,42,42,22197,135,499,1089,False,37,0.8100175468898478,0.5670367574200998,2.8770000000000024
sea_ad_pfc_a9_rna_final_2026,reader_oracle,32,10,10,5181,289,444,1060,False,5,0.21243090989696747,0.1390152835896431,3.514000000000003
sea_ad_pfc_a9_rna_final_2026,reader_validation,32,12,12,6217,154,414,1190,False,7,0.2705955558899492,0.1721326518567757,3.270000000000003
sea_ad_stg_rna_final_2026,reader_fit,33,27,27,9270,96,310,769,False,22,0.6079318005964736,0.3882404539227881,2.9320000000000026
sea_ad_stg_rna_final_2026,reader_oracle,33,5,5,1527,229,260,446,False,0,,,
sea_ad_stg_rna_final_2026,reader_validation,33,5,5,2422,271,308,1088,False,0,,,
sea_ad_v1c_rna_final_2026,reader_fit,34,27,25,9124,37,335,935,False,20,0.5713496942850755,0.3615098054386891,2.9460000000000024
sea_ad_v1c_rna_final_2026,reader_oracle,34,5,5,1394,145,295,404,False,0,,,
sea_ad_v1c_rna_final_2026,reader_validation,34,5,5,1628,231,339,427,False,0,,,
