comparison,rank,n,median_overlap,p25_overlap,median_max_angle
DISJOINT_OPERATOR_COMMON_DONORS,4,16,0.9025631170949411,0.7727512948762296,32.234908236296185
DISJOINT_OPERATOR_COMMON_DONORS,8,16,0.8141164462726034,0.775723075012526,54.76009566369348
DISJOINT_OPERATOR_COMMON_DONORS,16,16,0.6803499024630808,0.6476956520945605,85.82773259584253
SAME_OPERATOR_CELL_SPLIT,4,8,0.9745469040399012,0.9690188767891408,13.51754675399851
SAME_OPERATOR_CELL_SPLIT,8,8,0.908926986612777,0.8956506331265981,35.896704838572994
SAME_OPERATOR_CELL_SPLIT,16,8,0.7553538643501874,0.7534856370289804,82.64727095864089
