broad_class,rank,n,median_overlap,p25_overlap,median_max_angle
Neuronal: GABAergic,4,12,0.5450924541721969,0.4813195641504928,74.2564576291441
Neuronal: GABAergic,8,12,0.4798180888344638,0.4205671702468342,85.60730733853705
Neuronal: Glutamatergic,4,16,0.5320425052199516,0.45121369461960076,75.50946516238272
Neuronal: Glutamatergic,8,16,0.561229877271124,0.4082042729425473,84.81195311033242
Non-neuronal and Non-neural,4,16,0.25878628947163973,0.19507370880289973,86.54049144207167
Non-neuronal and Non-neural,8,16,0.30909287442201117,0.23353789533176267,87.00987620234304
