feature_id,display_name,sample,n_cells,n_nt_units,median_log2fc,n_abs_gt_1
SLC25A19_tss_g3,SLC25A19_tss_g3,S3,6,14,0.0,8482
SLC25A19_tss_g3,SLC25A19_tss_g3,S4,6,13,0.0,7115
SLC25A19_tss_g3,SLC25A19_tss_g3,S5,3,15,0.0,8830
SLC25A19_tss_g3,SLC25A19_tss_g3,S6,6,13,0.0,8396
SLC25A19_tss_g3,SLC25A19_tss_g3,S7,5,13,0.0,8632
MARCHF1_tss_g1,MARCHF1_tss_g1,S6,1,13,0.0,9292
MARCHF1_tss_g2,MARCHF1_tss_g2,S1,5,15,0.0,8650
MARCHF1_tss_g2,MARCHF1_tss_g2,S2,2,12,0.0,9809
MARCHF1_tss_g2,MARCHF1_tss_g2,S3,4,14,0.0,8874
MARCHF1_tss_g2,MARCHF1_tss_g2,S4,3,13,0.0,9083
MARCHF1_tss_g2,MARCHF1_tss_g2,S5,3,15,0.0,8852
MARCHF1_tss_g2,MARCHF1_tss_g2,S6,4,13,0.0,8600
MARCHF1_tss_g2,MARCHF1_tss_g2,S7,1,13,0.0,10448
MARCHF1_tss_g3,MARCHF1_tss_g3,S1,8,15,0.0,8613
MARCHF1_tss_g3,MARCHF1_tss_g3,S2,8,12,0.0,8023
MARCHF1_tss_g3,MARCHF1_tss_g3,S3,5,14,0.0,8252
MARCHF1_tss_g3,MARCHF1_tss_g3,S4,9,13,0.0,6880
MARCHF1_tss_g3,MARCHF1_tss_g3,S5,6,15,0.0,8205
MARCHF1_tss_g3,MARCHF1_tss_g3,S6,5,13,0.0,8301
MARCHF1_tss_g3,MARCHF1_tss_g3,S7,8,13,0.0,8359
IRF5_tss_g1,IRF5_tss_g1,S1,7,15,0.0,8476
IRF5_tss_g1,IRF5_tss_g1,S2,13,12,0.0,7606
IRF5_tss_g1,IRF5_tss_g1,S3,4,14,0.0,8705
IRF5_tss_g1,IRF5_tss_g1,S4,4,13,0.0,8087
IRF5_tss_g1,IRF5_tss_g1,S5,4,15,0.0,8760
IRF5_tss_g1,IRF5_tss_g1,S6,14,13,0.0,8039
IRF5_tss_g1,IRF5_tss_g1,S7,11,13,0.0,8011
IRF5_tss_g2,IRF5_tss_g2,S1,5,15,0.0,8726
IRF5_tss_g2,IRF5_tss_g2,S2,13,12,0.0,7438
IRF5_tss_g2,IRF5_tss_g2,S3,5,14,0.0,8402
IRF5_tss_g2,IRF5_tss_g2,S4,14,13,0.0,6446
IRF5_tss_g2,IRF5_tss_g2,S5,5,15,0.0,8570
IRF5_tss_g2,IRF5_tss_g2,S6,9,13,0.0,7995
IRF5_tss_g2,IRF5_tss_g2,S7,4,13,0.0,8826
IRF5_tss_g3,IRF5_tss_g3,S1,11,15,0.0,8423
IRF5_tss_g3,IRF5_tss_g3,S2,10,12,0.0,7785
IRF5_tss_g3,IRF5_tss_g3,S3,7,14,0.0,8145
IRF5_tss_g3,IRF5_tss_g3,S4,11,13,0.0,6642
IRF5_tss_g3,IRF5_tss_g3,S5,14,15,0.0,7790
IRF5_tss_g3,IRF5_tss_g3,S6,6,13,0.0,8291
IRF5_tss_g3,IRF5_tss_g3,S7,11,13,0.0,7807
IFNGR1_tss_g1,IFNGR1_tss_g1,S1,4,15,0.0,9064
IFNGR1_tss_g1,IFNGR1_tss_g1,S2,8,12,0.0,8085
IFNGR1_tss_g1,IFNGR1_tss_g1,S3,4,14,0.0,8807
IFNGR1_tss_g1,IFNGR1_tss_g1,S4,8,13,0.0,7398
IFNGR1_tss_g1,IFNGR1_tss_g1,S6,12,13,0.0,7814
IFNGR1_tss_g1,IFNGR1_tss_g1,S7,5,13,0.0,8887
IFNGR1_tss_g2,IFNGR1_tss_g2,S1,4,15,0.0,8930
IFNGR1_tss_g2,IFNGR1_tss_g2,S2,10,12,0.0,7814
IFNGR1_tss_g2,IFNGR1_tss_g2,S3,8,14,0.0,7979
IFNGR1_tss_g2,IFNGR1_tss_g2,S4,14,13,0.0,6371
IFNGR1_tss_g2,IFNGR1_tss_g2,S5,9,15,0.0,7979
IFNGR1_tss_g2,IFNGR1_tss_g2,S6,2,13,0.0,8957
IFNGR1_tss_g2,IFNGR1_tss_g2,S7,9,13,0.0,8011
IFNGR1_tss_g3,IFNGR1_tss_g3,S4,1,13,0.0,10171
C3_tss_g1,C3_tss_g1,S1,1,15,0.0,9545
C3_tss_g1,C3_tss_g1,S4,1,13,0.0,9819
C3_tss_g2,C3_tss_g2,S1,7,15,0.0,8588
C3_tss_g2,C3_tss_g2,S2,5,12,0.0,8615
C3_tss_g2,C3_tss_g2,S3,8,14,0.0,8031
