study,gsm,geo_title,geo_series_url,file,file_sha256,neuron_genotype,microglia_genotype,material,sample_unit,biological_uncertainty_estimable
GSE240609,GSM7703564,APOE3CH-WT,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE240609,GSM7703564_45229_14048iN_APOEChurchMG_gene_counts.txt.gz,f61d1ba45877aca810a962c59bb7e5fece5448c5bc23fe69b921dfc12d1615be,WT,APOE3ch,CD11B_PURIFIED_MICROGLIA_AFTER_NEURON_COCULTURE,one original sample per genotype cross,False
GSE240609,GSM7703567,APOE3CH-PSEN1,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE240609,GSM7703567_45232_14048PSEN_iN_APOECHurchMG_gene_counts.txt.gz,b7d48bdf0987c888d1563d3ea6da4fcedd817b3ede3d1bcd49439ce4748058e3,PSEN,APOE3ch,CD11B_PURIFIED_MICROGLIA_AFTER_NEURON_COCULTURE,one original sample per genotype cross,False
GSE240609,GSM7703569,APOE3-WT,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE240609,GSM7703569_45227_14048iN_APOE3MG_gene_counts.txt.gz,46db9651d4792bf193eb470827daab4a05f22c11368c054ccb0fab105483ada9,WT,APOE3,CD11B_PURIFIED_MICROGLIA_AFTER_NEURON_COCULTURE,one original sample per genotype cross,False
GSE240609,GSM7703571,APOE3-PSEN1,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE240609,GSM7703571_45230_14048PSEN_iN_APOE3MG_gene_counts.txt.gz,28cbe1b2b5d3dcdcf0085de59b351b41cc91c6cc8cfd6c78f03b6512c1ea9198,PSEN,APOE3,CD11B_PURIFIED_MICROGLIA_AFTER_NEURON_COCULTURE,one original sample per genotype cross,False
