method,n_targets,n_rows,U_mean,mean_delta,relative_drop_pct,row_win_pct,target_win_n,target_win_pct,ci_low,ci_high
RIDGE8,32,128,0.12167825274586594,0.007563201758511773,6.2157382998489314,80.46875,29,90.625,0.0037111131045351737,0.013552363074293345
TOP8,32,128,0.12167825274586594,0.005077222626133529,4.1726623382221675,72.65625,24,75.0,0.0018722394330524213,0.010354182081927227
