method,n_targets,U_mean,mean_delta,relative_pct,row_win,target_win,ci_lo,ci_hi
RIDGE8,8,0.16156253604487414,0.006345771806717857,3.927749565007641,0.84375,1.0,0.003964544208276191,0.008872877822727563
TOP8,8,0.16156253604487414,0.0034509030972789444,2.1359550188791623,0.71875,0.75,0.0012944401407248812,0.005954843576325303
