method,n_targets,U_mean,mean_delta,relative_pct,row_win,target_win,ci_lo,ci_hi
RIDGE8,8,0.10694793373999786,0.004589202914283306,4.29106271977181,0.84375,1.0,0.002323671531393696,0.007219410739166882
TOP8,8,0.10694793373999786,0.0026830399115317215,2.508734687716815,0.65625,0.875,0.0007388617977510188,0.004892628283107181
