burden,cap,strategy,U_mean,mean_delta,median_delta,relative_reduction_pct,win_fraction,actioned_n,actioned_mean_delta,actioned_median_delta,actioned_relative_reduction_pct,actioned_win_fraction,ci_low,ci_high
10%,8,TOP8,0.068927581086612,0.008755562298950628,0.003944528861560351,12.702552680542631,0.828125,128,0.008755562298950628,0.003944528861560351,12.702552680542631,0.828125,0.004765416566967018,0.013625979175468567
10%,8,RIDGE8,0.068927581086612,0.009894869603704174,0.006085719933317005,14.355457492800488,0.84375,128,0.009894869603704174,0.006085719933317005,14.355457492800488,0.84375,0.005978435827128177,0.014394604023625022
10%,8,PREFIX3,0.068927581086612,0.007983918015022615,0.0,11.58305266071981,0.4609375,60,0.017032358432048245,0.010352786069210945,14.169488320389783,0.9833333333333333,0.0036551594940961722,0.012811421315761901
15%,8,TOP8,0.06862164052955509,0.008740864370328987,0.0044960248875115585,12.737766545473841,0.875,128,0.008740864370328987,0.0044960248875115585,12.737766545473841,0.875,0.004937762666547683,0.01339178272898653
15%,8,RIDGE8,0.06862164052955509,0.009429455503388865,0.0057640007991353725,13.741227156071316,0.828125,128,0.009429455503388865,0.0057640007991353725,13.741227156071316,0.828125,0.005626433465525229,0.01391074644420133
15%,8,PREFIX3,0.06862164052955509,0.007531253584160985,0.0,10.975041584611056,0.4609375,60,0.01606667431287677,0.008525813995949455,13.474844475604279,0.9833333333333333,0.0035147519747667044,0.01216574248203199
20%,8,TOP8,0.06782453287267669,0.008416193133971586,0.0033546578884614056,12.408774196456093,0.8203125,128,0.008416193133971586,0.0033546578884614056,12.408774196456093,0.8203125,0.004362539526886348,0.013347778359047376
20%,8,RIDGE8,0.06782453287267669,0.009092212270318834,0.0058325208667962345,13.405491914536514,0.8125,128,0.009092212270318834,0.0058325208667962345,13.405491914536514,0.8125,0.00538877879244925,0.013375733129894825
20%,8,PREFIX3,0.06782453287267669,0.007672527854687233,0.0,11.312319495204562,0.4375,60,0.016368059423332762,0.009498705600320862,13.805264588509441,0.9333333333333333,0.0033416163181913486,0.012588590251546499
30%,8,TOP8,0.06585651126561312,0.007605009084512079,0.0030525894619189593,11.547846884629953,0.796875,128,0.007605009084512079,0.0030525894619189593,11.547846884629953,0.796875,0.004097506486536312,0.011962446117102137
30%,8,RIDGE8,0.06585651126561312,0.007754505236993435,0.004282910476280052,11.774849727034415,0.8515625,128,0.007754505236993435,0.004282910476280052,11.774849727034415,0.8515625,0.00471882002763818,0.011410387322119658
30%,8,PREFIX3,0.06585651126561312,0.006648789135367067,0.0,10.095872082490228,0.4140625,60,0.014184083488783075,0.0078018436078991435,12.354061008173417,0.8833333333333333,0.0029389285648373886,0.01099548511040088
15%,4,TOP8,0.06862164052955509,0.005629216939406016,0.00281992216728865,8.20326779710481,0.8203125,128,0.005629216939406016,0.00281992216728865,8.20326779710481,0.8203125,0.0031383848475615267,0.008635586256672028
15%,4,RIDGE8,0.06862164052955509,0.005868453651069481,0.0031677700356762192,8.551899380111672,0.765625,128,0.005868453651069481,0.0031677700356762192,8.551899380111672,0.765625,0.0032999381496385555,0.00886783598592685
15%,4,PREFIX3,0.06862164052955509,0.004777118812442852,0.0,6.961533964471987,0.4453125,60,0.010191186799878087,0.006627340899939695,8.547173763280215,0.95,0.002180157355115801,0.007744094875777444
