universe,method,n,targets,action_rows,action_targets,mean_delta,median_delta,win,target_mean_delta,target_median_delta,target_win,acted_mean_delta,acted_win
800,PREFIX3,128,32,43,16,0.012925440729304682,0.0,0.328125,0.012925440729304682,0.0006907286588102579,0.5,0.038475730543046496,0.9767441860465116
800,STABLE05,128,32,96,24,0.00026363243523519486,0.0,0.0234375,0.00026363243523519486,0.0,0.09375,0.00035150991364692646,0.03125
800,STABLE10,128,32,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
800,STABLE15,128,32,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
800,TOP8,128,32,128,32,0.023306133476580726,0.017229649238288403,0.8046875,0.023306133476580726,0.01910815533483401,0.875,0.023306133476580726,0.8046875
2000,PREFIX3,128,32,31,12,0.010341232948121615,0.0,0.21875,0.010341232948121615,0.0,0.28125,0.04269928443095376,0.9032258064516129
2000,STABLE05,128,32,96,24,-0.00011128711048513651,0.0,0.03125,-0.00011128711048513651,0.0,0.0625,-0.00014838281398018202,0.041666666666666664
2000,STABLE10,128,32,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000,STABLE15,128,32,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000,TOP8,128,32,128,32,0.022225650354812387,0.01449415972456336,0.8203125,0.022225650354812387,0.013936475850641727,0.9375,0.022225650354812387,0.8203125
6000,PREFIX3,128,32,15,10,0.0018513397517381236,0.0,0.0859375,0.0018513397517381236,0.0,0.1875,0.01579809921483199,0.7333333333333333
6000,STABLE05,128,32,98,26,0.0007421033806167543,0.0,0.03125,0.0007421033806167543,0.0,0.09375,0.0009692778848871893,0.04081632653061224
6000,STABLE10,128,32,10,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6000,STABLE15,128,32,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6000,TOP8,128,32,128,32,0.016934032773860963,0.015738043934106827,0.8515625,0.016934032773860963,0.014483974780887365,0.84375,0.016934032773860963,0.8515625
