fold,U,RIDGE8,delta,source_in_set,source_rank
0,0.4577007533336521,0.041383845183318904,0.41631690815033323,1,1
1,0.40636157683194324,0.03538989373197015,0.3709716830999731,1,1
2,0.420673318532549,0.040565666324457524,0.3801076522080915,1,1
3,0.3380091153610408,0.052050852813236605,0.28595826254780415,1,1
