fold,target,U,score,delta
0,0,0.0017844504477825,0.0014587004538291,0.0003257499939534
0,1,0.0023383683844134,0.0025822857384195,-0.000243917354006
0,2,0.0009753114295099,0.0011629624207159,-0.000187650991206
0,3,0.0024595526057954,0.0030125562348147,-0.0005530036290192
0,4,0.00327580712343,0.0031447378563645,0.0001310692670654
0,5,0.0023175418385755,0.0014864952394505,0.000831046599125
0,6,0.002784738748766,0.0017583088426791,0.0010264299060868
0,7,0.0023505878208223,0.0023170471171904,3.354070363183496e-05
1,0,0.0038538776903813,0.0059915908869153,-0.002137713196534
1,1,0.0022555761424263,0.0025665091653095,-0.0003109330228831
1,2,0.0011548606695898,0.0013537421094973,-0.0001988814399074
1,3,0.0029720657396736,0.0033550981839555,-0.0003830324442819
1,4,0.0012863149112178,0.0030353551192455,-0.0017490402080276
1,5,0.0024206747601396,0.0052797830838918,-0.0028591083237521
1,6,0.0021512456132581,0.0041816969076295,-0.0020304512943713
1,7,0.0015589366772274,0.0008057983169167,0.0007531383603106
2,0,0.0027614109437765,0.0032165624654325,-0.000455151521656
2,1,0.0030788352873891,0.0031405875295406,-6.175224215150023e-05
2,2,0.0013483771537542,0.0022030049834948,-0.0008546278297406
2,3,0.0025125162937216,0.0025408381115627,-2.8321817841126407e-05
2,4,0.003598532171966,0.0021221820861258,0.0014763500858401
2,5,0.0017854238062008,0.0029962748569178,-0.0012108510507169
2,6,0.002141954942288,0.0025793839499952,-0.0004374290077071
2,7,0.0018359111616935,0.0023659957074613,-0.0005300845457678
3,0,0.0045334856617209,0.004147074716689,0.0003864109450319
3,1,0.0033922819742766,0.00226337614308,0.0011289058311965
3,2,0.0017231186699363,0.0023884047199278,-0.0006652860499914
3,3,0.0038192638305158,0.0044216790808737,-0.0006024152503579
3,4,0.0026517605480294,0.001567469422861,0.0010842911251683
3,5,0.0011449506194472,0.0016342008854301,-0.0004892502659829
3,6,0.0034163406681514,0.0021819906417853,0.0012343500263661
3,7,0.0020403171318469,0.0021498737690619,-0.0001095566372149
