panel,source,split,half,observed,null_p95,null_max,margin_p95,margin_max,observed_measurable_donors,null_measurable_donors_min,null_measurable_donors_max,pass
0,HVS,0,0,0.6071428571428571,0.5517241379310345,0.5689655172413793,0.05541871921182262,0.03817733990147776,15,15,15,True
0,HVS,0,1,0.5484625668449198,0.5441558441558441,0.5736507936507937,0.004306722689075726,-0.02518822680587396,14,14,14,True
0,HVS,1,0,0.6071428571428571,0.5178571428571429,0.5714285714285714,0.08928571428571419,0.0357142857142857,15,15,15,True
0,HVS,1,1,0.5484625668449198,0.5473059360730593,0.553030303030303,0.0011566307718604563,-0.004567736185383198,14,14,14,True
0,NPH52,0,0,0.6253880266075388,0.5625,0.5707488970313318,0.06288802660753878,0.05463912957620698,8,8,8,True
0,NPH52,0,1,0.5883325729927007,0.5534188733593008,0.5729519851252324,0.03491369963339985,0.01538058786746832,8,8,8,True
0,NPH52,1,0,0.6163506940746264,0.5666648915397451,0.5784515675241158,0.04968580253488131,0.03789912655051064,8,8,8,True
0,NPH52,1,1,0.6086871133514451,0.5614011337676622,0.5817454268292683,0.04728597958378289,0.026941686522176767,8,8,8,True
0,SEA_AD,0,0,0.6145833333333334,0.581151832460733,0.5885416666666666,0.033431500872600384,0.02604166666666674,23,23,23,True
0,SEA_AD,0,1,0.6291012838801712,0.5747126436781609,0.58,0.054388640202010285,0.04910128388017121,23,23,23,True
0,SEA_AD,1,0,0.6323296354992076,0.5752351097178683,0.5817610062893082,0.057094525781339334,0.05056862920989946,23,23,23,True
0,SEA_AD,1,1,0.6153846153846154,0.577524893314367,0.5804597701149425,0.03785972207024846,0.03492484526967288,23,23,23,True
1,HVS,0,0,0.6236559139784946,0.5263157894736842,0.5769230769230769,0.09734012450481044,0.04673283705541775,15,15,15,True
1,HVS,0,1,0.5769230769230769,0.5471175166297118,0.5532363977485929,0.02980556029336512,0.02368667917448397,14,14,14,True
1,HVS,1,0,0.6236559139784946,0.5378787878787878,0.5769230769230769,0.08577712609970678,0.04673283705541775,15,15,15,True
1,HVS,1,1,0.5769230769230769,0.5497078968573731,0.565160567587752,0.02721518006570378,0.011762509335324856,14,14,14,True
1,NPH52,0,0,0.6131929046563193,0.567961884072282,0.5923295454545454,0.045231020584037274,0.020863359201773846,8,8,8,True
1,NPH52,0,1,0.572158481925363,0.5427670340334096,0.5613672902660041,0.02939144789195336,0.010791191659358934,8,8,8,True
1,NPH52,1,0,0.5878141167775315,0.5638056436618177,0.5706563813315638,0.024008473115713747,0.01715773544596766,8,8,8,True
1,NPH52,1,1,0.5942950581395349,0.5503650967506389,0.5634716981132075,0.04392996138889593,0.03082336002632735,8,8,8,True
1,SEA_AD,0,0,0.6197916666666666,0.5803698435277382,0.5852272727272727,0.03942182313892839,0.03456439393939392,23,23,23,True
1,SEA_AD,0,1,0.6287339971550497,0.5743348982785602,0.5823863636363636,0.05439909887648953,0.04634763351868609,23,23,23,True
1,SEA_AD,1,0,0.625,0.5796875,0.5832147937411095,0.04531249999999998,0.041785206258890484,23,23,23,True
1,SEA_AD,1,1,0.6187766714082503,0.577524893314367,0.5814285714285714,0.04125177809388336,0.03734809997967892,23,23,23,True
